<DGen:>		<*>
	--------------------------------------------------------------------------------------------
		Czech Dgen data file 13.03.2008
		Translated by Pavel K
	--------------------------------------------------------------------------------------------
	--------------------------------------------------------------------------------------------

	The following messages are the first part of the briefing. 
	They describe general situation and target area	 		
	--------------------------------------------------------------------------------------------

<DeCAP>		<\nKamarádi!\nDnes budete lovit Amíky v oblasti %s. Jak víte, poslední dobou jsou ve vzduchu dost aktivní, proto buïte po celou dobu na pozoru!\n>
<DeCAP>		<\nDnešním cílem je %s. Protože v této oblasti poslední dobou vzrostl poèet bojových støetnutí, je témìø 100% pravdìpodobnost støetu s nepøítelem.\n>
<DeCAP>		<\nDobrá, hlavním dnešním úkolem je hlídka ve vzdušném prostoru %s.Máte výhodu našeho flaku, nepøátelé se nebudou rádi dlouho poflakovat v oblasti.Nepronásledujte nikoho mimo pøidìlený prostor, kromì situace, kdyby prorazila víc než jedna nepøátelská skupina.\n>
<DeCAP>		<\nKamarádi, jako oddech od vašich obvyklých pozemních útokù a záchytných akcí, svedeme dnes staromódní vzdušný boj. Oblast %s je poslední dobou pøitažlivá výskytem amerických letadel, a tak každý z nás doufá, že si zvýší skóre o jeden dva sestøely!\n>
<DeCAP>		<\nKamarádi!\nDnes jsme pøiøazeni k sektoru %s. Amíci mají velkou poèetní pøevahu v celém rozsahu operací, ale my ještì stále máme dost letadel k získání kontroly nad danou oblastí. Tak dnes pøekvapme ty Indiány a postavme zeï z oceli na jejich cestì k cíli. Podle všeho další nálet na tohle mìsto. Vzlétneme pro zastavení tìch amerických vzdušných banditù. Nepøestávejte útoèit dokud budete mít munici a pokuste se vyhnout doprovodným stíhaèùm, pokud to bude možné!>
<DeCAP>		<\nKamarádi!\nNevím jak vám mám zdùraznit, že každý z vás je dùležitý pro naše celkové váleèné úsilí. Máme málo náhradních letadel, a proto každý úkol splòte s co nejlepším výsledkem Dnes je naše skupina poslána na hlídku do oblasti %s.\n>
<DeCAP>		<\nPozdìji dnes zaútoèí  naše stíhací-bombardéry na rùzné dùležité cíle blízko frontové linie. Cestou k cíli se musejí dostat pøes oblast %s a ta by se mohla stát novým oblíbeným místem pro americké hlídkující stíhaèe. Leete tam a zajistìte vzdušný prostor kompletnì vyèištìný pro naše pozdìjší stíhací-bombardéry. Chraòte celou oblast, agresivnì vyhledávejte americké letouny a zajistìte, aby ve vzduchu nemohli ohrozit naše útoèné letky.\n>
<DeCAS>		<\nKamarádi! Dnešní cíl je umístìn blízko %s. Nevím jak øíct, nakolik je tato oblast dùležitá pro pozemní válku, prokážete totiž velkou službu našim vojskùm na které útoèí anglo-a merické síly.\n>
<DeCAS>		<\nKamarádi!\nV dnešní misi zaútoèíme  na oblast %s. Je dùležitá ze strategického i taktického hlediska. Vìdí to i Amíci, tak dnes neèekejte žádnou procházku parkem.\n>
<DeCAS>		<\nDobrá, dnešní mise je další  pozemní útok.Cíl je %s. Poslední dobou tam byly pozorovány pohyby nepøátelských jednotek, tak mùžete v oblasti útoku kromì svojeho hlavního cíle oèekávat množství pøíležitostných cílù. \n>
<DeCAS>		<\nDnes víc bušení do pozemních cílù, chlapci . Cíl: %s. Nebude to pøíliš snadné, okolí se hemží amíky s prstem na spoušti. Mùžete bìhem úkolu oèekávat spoustu flaku.\n>
<DeCAS>		<\nKamarádi!\nNaším dnešním úkolem je %s. Naši zpravodajci jsou všímaví, neznají ale pøesnou situaci kolem cíle, mùžete si být jisti nadbytkem amíkù. Pozemní boje tam byly nedávno docela hektické, tak oèekávejte rùzné zajímavé cíle rozptýlené v okolní krajinì.\n>
<DeCAS>		<\nKamarádi!\nJe èas oplatit našim jazz poslouchajícím, èernochy milujícím a civilisty zabíjejícím americkým pøátelùm poslední návštìvu. Ti na naši opoždìnou zvláštní dodávku èekají v oblasti %s.\n>
<DeCAS>		<\nKamarádi!\nJak už urèitì víte od mechanikù, kteøí pøipevòují pozemní výzbroj na vaše stroje, dnes poletíte další pozemní útoènou misi. Cíl: %s.\n>

<DeEsc>		<\nKamarádi!\nÚkolem bude doprovod našich stíhacích-bombardérù na jejich cestì k %s. Oèekáváme úèast tìžkých nepøátelských stíhaèek, proto zùstaòte nad stíhacími-bombardéry po celou dobu a nenechejte je zaplést do šarvátky s amíky.\n>
<DeEsc>		<\nKamarádi!\nJe èas na další doprovodnou misi. Naše stíhací-bombardéry znovu udeøí na %s.Naposledy utrpìli tìžké ztráty od amerických mustangù. Dìlejte svoji práci tak a se to tentokrát nestane.\n>
<DeEsc>		<\nDnes to bude další doprovod. Na dnešní cíl %s, jak si nìkteøí z vás pamatují, jsme už pøed èasem zaútoèili. Byla to úspìšná mise bez ztrát našich bombardérù, která Amerièany dokonale pøekvapila a pøinesla pár potvrzených vítìztví pro naši Geschwader. Pokusme se to dnes udìlat podobnì.\n>
<DeEsc>		<\nKamarádi!\nVypadá to, že si dnes užijeme troch zábavy. Budeme doprovázet bombardéry k %s a zpátky. Oèekávejte množství flaku a amerických letadel ve vzduchu.\n>
<DeEsc>		<\nDobrá pánové, poslouchejte! Mám dobrou zprávu pro ty, kdo si touží pøipsat nìjaké sestøely.Dnes naše stíhací-bombardéry vystupòují velký nálet na lákavý cíl , %s. Je jisté, že tam budou ameriètí stíhaèi. Jako hlavní doprovod se urèitì dostanete do boje.\n>
<DeEsc>		<\nKamarádi!\nNaše stíhací-bombardéry se pokouší získat dùležitý úspìch a znièit na zemi anglo-americké síly, dnes je naší prací jejich doprovod k dùležitému cíli. Je èas zaútoèit na %s.\n>
<DeEsc>		<\nKamarádi!\nVáš dnešní úkol zahrnuje doprovod nìkolika stíhacích-bombardérù k  %s. Mnozí z vás už to pøed tím dìlali, budu proto struèný. Zùstaòte nad bombardéry, dodržujte rádiový klid a nezapojujte se do soubojù. Mìjte oèi na stopkách a vrate se bezpeènì domù.\n>
<DeEscP>	<\nKamarádi!\nTento úkol bude doprovod starých dobrých "Tante Jus" letících vysadit parašutisty nad  %s. Zvládnìte svoji úlohu a nenechte amíky sestøelit naše letouny plné výsadkáøù než dosáhnou svojich cílù.\n>
<DeEscR>	<\nKamarádi!\nDnes bude náš rychlý prùzkumný letoun snímkovat oblast %s. >
<DeRecAF>	<\nKamarádi!\nMáme zprávy o silné nepøátelské èinosti na našem starém letišti %s. Naše zpravodajci umírají touhou získat víc informací o poètech a druzích letounù tam umistìných.\n>
<DeRecAFD> <Doprovoïte prùzkumná fotografická letadla, musíme vìdìt, co se tam dìje. >
<DeRecAFD> <Potøebujeme vìdìt, co tam mají.>

<DeScramSit>	<\nNálet! Není to cvièení! Blíží se nepøátelské bombardéry! >
<DeScramSit>	<\nPoplach, poplach! Nepøátelské letouny míøící smìrem k našemu letišti! >
<DeScramSit>	<\nBlíží se nepøátelské stroje! Máme sotva èas nabrat výšku! Dìlejte, rychle! >
<DeScram>	<Vzletnìnte okamžitì, neposedávejte èekající ve formaci! >
<DeScram>	<Celá naše Geschwader stojí nechránìná venku, nenechte znièit naše letadla na zemi! >
<DeSwp>		<\nKamarádi!\nDnes se chystáme na %s. >
<DeTranInt>	<\nKamarádi!\n%s je dùležitým a strategickým cílem pro nás i Amerièany. Ti jsou zásobováni pøevážnì letecky, proto znièením nepøátelských pøepravních letadel pomùžete pøevážit místní rovnováhu na naši stranu.\n>
<DeTranIntD> <\nKamarádi!\nDnes budeme lovit snadnou koøist, americké dopravní letouny. Udržujte vysokou rychlost, udržujte si odstup od doprovodu, a pøehlížejte další možné cíle na zemi.\n>
<DeTranRep>	<\nKamarádi!\nNaše eskadra se stahuje od pøesouvající se frontové linie. %s bude pravdìpodobnì využitá jinou Geschwader, %s bude od teï naší novou základnou.\n>
<DeTranRep>	<\nKamarádi, musíme opustit %s opravdu na poslední chvíli. Máme jen nìkolik hodin na zabalení našich vìcí. Celá naše Geschwader musí být nejpozdìji zítra akceschopná z  %s .\n>
<DeTranRep>	<\nKamarádi!\nJak víte, frontová linie se rychle mìní, a proto bez nìjakých upozornìní opouštíme %s a pøesunujeme se do našeho nového domova,  %s.\n>

<RuCAPCaen>		<\nPánové!\nDnes budeme stopovat skopèáky nad Caen. Jak všichni samozøejmì víte, Caen je nejvìtší mìsto v Normandii, dùležitá køižovatka hlavních spojovacích komunikací , a klíè k dálnici vedoucí do Paøíže.\nPoslední dobou jsou Nìmci dost aktivní, proto po celou dobu buïte ostražití!\n>
