<DGen:>		<*>
	--------------------------------------------------------------------------------------------
		 
	Czech Dgen PF file created 	17 11 2004
	Updated 	(last)    	10 06 2006 
	Translated and edited by Michal "Crayman" Stibinger (stim@seznam.cz)


	Translation guidelines. 

	Every line not starting with symbol < will be ignored. You may use it for comments.
 	Messages consist of three parts: message ID, optional message selector and text.

	For every ID code there may be up to 10 variants of texts - one will be picked up randomly.
	You don't need to translate every line exactly, you just need to describe the same situation.

	Message selector in () brackets defines which campaign will use them.
	*JA means all Japanese
	aJA Japanese Army only
	nJA Japanese Navy only

	other codes are 
	*U*, for all Allies
	*UK, for RAF and RN
	aUK, for RAF, RNZAF, RAAF 
	aUD, for Dutch
	nUK, for RN
	*US, for USAAF,USMC,USN
	aUS, for USAAF
	nUS, for US Navy
	mUS, for US Marine Corps

	Some messages can be made map-specific. For instance:

//<AttackAF>(*U*)

	is a generic AF attack, while:

//<AttackAF:Tarawa>(*U*) can contain some references to invasion of Tarawa. If there is map-specific varioant, 
   only this version will be used.


	Symbols \n ans %s must be left intact. \n means new line, %s means that some substring will be 
	placed there - usually town name. 

	Message texts cannot contain new lines - make them as long as you need (but not longer than 256 chars).
	--------------------------------------------------------------------------------------------

//<Retrn>		<After some much needed R & R your squadron is back in action...\n>

<Retrn>		< >

--------------------------------------------------------------------------------------------
	The following messages are for pilot's logbook
--------------------------------------------------------------------------------------------



<logCAS>				<Pøímá letecká podpora>
<logAttack>				<Úder>
<logNavalAttack>		<Úder na lodì>
<logCAP>				<Ochrana pozemních cílù>
<logFleetPatrol>		<Ochrana lodí>
<logParaEscort>			<Doprovod>
<logIntercept>			<Pøepad>
<logReconEscort>		<Doprovod prùzkumu>
<logRecon>				<Prùzkum>
<logFighterSweep>		<Vybojování vzdušné pøevahy>
<logScramble>			<Hotovostní start>
<logRescue>				<Záchrana>
<logNone>				< >
<logStrikeEscort>		<Doprovod bombardérù>
<logTransfer>			<Pøemístìní>

<logBailed> 			<Vyskoèil s padákem>	
<logKill> 				<Sestøelil? %s>		
<logCrashed> 			<Havaroval>	
<logLandedAF> 			<Úspìšnì pøistál>
<logLanded> 			<Nouzové pøistání>


<logAttackAF>			<Napadeno nepøátelské letištì>
<logTank>               <Znièen nepøátelský tank>
<logShip>				<Potopena nepøátelská loï>
<logArtillery>			<Napadena nepøátelská dìlostøelecká pozice>
<logColumn>				<Napadena nepøátelská transportní kolona>
<logTrain>				<Napaden nepøátelský vlak> 
<logBridge>				<Znièen most>
<logTroops>				<Napadena nepøátelská pìchota>

	--------------------------------------------------------------------------------------------
	The following messages are for pilot's personal files
	--------------------------------------------------------------------------------------------

<rstJoined> 		<pøiøazen k letce>
<rstPromoted> 		<povýšen do hodnosti %s>
<rstAwarded> 		<vyznamenán a obdržel - %s>

<rstTransfered>(*U*) 	<pøevelen do letecké akademie>
<rstTransfered>(*JA) 	<pøevelen na mateøské ostrovy>

<rstHospitalize> 		<ranìn a hospitalizován >
<rstReunited> 		<se vrátil k jednotce>
 


<recJoined> 		<{DATE} {rank} {lastname} pøiøazen k letce>
