1    Marin,Petrache
1    Craciun,Gheorge
1    Tomescu,Mihai
1    Ciobanu,Ioan
1    Matei,Andrei
1    Nistor,Mihai
1    Tomuta,Marius
1    Ciulei,Liviu
1    Popescu,Mihail
1    Sandu,Valentin
1    Dobrescu,Catalin
1    Branescu,Stefan
1    Pacuraru,Sorin
1    Hancas,Mihai
1    Marin,Bogdan
1    Manoiu,Radu
1    Bucsa,Romulus
1    Dumitru,Nicolae
1    Dumitru,Ionescu
1    Craciun,Cristinel
1    Vais,Bruno
1    Iordache,Sandu
1    Dumitrescu,Stefan
1    Covaliu,Horia
1    Hinsa,Gheorghe
1    Dumitru,Viorel
1    Dumitrescu,Cornel
1    Ionel,Ion
1    Ionel,Dan
1    Badulescu,Adrian
1    Sterian,Ionescu
1    Alexandrescu,George
1    Badiu,Victor
1    Dobrin,Marius
1    Stefan,Petre
1    Mitroi,Calin
1    Mutu,Eugen
1    Toma,Cristian
1    Tudor,Catalin
1    Ilie,Dorian
1    Mugur,Petre
1    Constantinescu,George
1    Ionascu,Gabriel
1    Abrudan,Andrei
1    Andreica, Grigore-Ioan
1    Baghiu,Vasile-Catalin
1    Balint,Levente
1    Balanean,Aurel
1    Bejenariu,Alin
1    Caraba,Marius
1    Buzgariu,Flaviu
1    Caprar,Vasile
1    Cojocar,Cosmin
1    Dragan,Victor
1    Doran,Radu
1    Dumitriu,Claudiu
1    Farcas,Alexandru
1    Felvinti,Simion
1    Firtonea,Teodor
1    Gherman,Cristian
1    Golban,Bogdan
1    Gorgan,Vlad
1    Haidau,Florin
1    Hanganut,Daniel
1    Hapca,Horatiu
1    Groza,Nicolae
1    Grigoruta,Valentin
1    Hemmert,Francisc
1    Hruban,Alexandru
1    Hutanu,Lucian
1    Maier,Mircea
1    Maier,Lucian
1    Macarie,Daniel
1    Macaiet,Cristian
1    Maja,Mihai
1    Manasturean,Dan
1    Males,Alexandru
1    Maniu,Adrian
1    Napirlica,Stefan
1    Petrini,Tudor
1    Panis,Daniel
1    Pacurar,Ovidiu
1    Pasca,Flaviu
1    Roman,Adrian
1    Rinja,Marius
1    Rauca,Stefan
1    Rus,Adrian
1    Rusu,Eduard
1    Samsodan,Silviu
1    Scutariu,Simion
1    Seling,Sergiu
1    Sas,Catalin
1    Sandor,Tiberiu
1    Satmar,Gabriel
1    Scurtu,Sorin
1    Seiche,Voicu
1    Selagea,Marian
1    Sampaleanu,Mihai
1    Sainiuc,Ruben
1    Sabau,Dragos
1    Sincovici,Mihai
1    Sisestean,Vlad
1    Soanca,Horea
1    Simoc,Titus
1    Seling,Sergiu
1    Socianu,Costin
1    Solomon,Ioan
1    Somodean,Adrian
1    Tamas,Adrian
1    Tamas,Ionel
1    Tamas,Mihai
1    Udrescu,Cristian
1    Ungureanu,Adrian
1    Vadan,Radu
1    Vaida,Ionut
1    Valean,Calin
1    Vamesu,Lucian
1    Varga,Paul
1    Vasioiu,Gabriel
1    Vamos,Adrian
1    Vermesan,Ion
1    Zaharia,Calin
2    Acatinca,Mihail
2    Balibanu,Dan
2    Balan,Andrei
2    Balas,Marian
2    Balog,Viorel
2    Baraian,Marius
2    Baras,Victor
2    Barbur,Marian
2    Birladeanu,Laur
2    Barle,Bogdan
2    Birsan,Florin
2    Bejenariu,Paul
2    Caia,Ionel
2    Dale,Laur
2    Danci,Marian
2    Demian,Paul
2    Diaconeasa,Radu
2    Fasie,Ioan
2    Gaspar,Andrei
2    Gatea,Marian
2    Gheorghe,Florian
2    Georgescu,Nicolai
2    Gheorghiu,Gabriel
2    Halmen,Andrei
2    Hagau,Alexandru
2    Haiduc,Mihai
2    Hanganut,Daniel
2    Joldes,Marian
2    Lodea,Radu
2    Lobont,Ioan
2    Loboda-Bacanaru,Ioan
2    Limbasan,Mihai
2    Leopold,Andras
2    Letia,Laur
2    Lungoci,Catalin
2    Lucaciu,Petre
2    Lorincz,Agoston
2    Luca,Ionut
2    Lujerdean,Marian
2    Lannert,Walter-Gunter
2    Ladar,Nicolae
2    Ladar,Cristian
2    Manole,Simion
2    Manda,Valentin
2    Palcu,Mihail
2    Panait,Alexandru
2    Pandor,Razvan
2    Panga,Marius
2    Panga,Cristian
2    Papuc,Tudor
2    Papara,Flavius
2    Sabau,Mihail
2    Sandu,George
2    Santa,Andrei
2    Satmar,Gabriel
2    Savu,Mihai
2    Scrob,Mirel
2    Scurtu,Vitalie
2    Scurtu,Sorin
2    Scutariu,Adrian
2    Seiche,Bogdan
2    Timoce,Ioan
2    Tirau,Cristian
2    Titan,Cristian
2    Titiu,Victor
2    Tirla,Andrei
2    Trestian,Barbu
2    Truta,Sorin
2    Tuns,Vasile
2    Tura,Dan
2    Tripon,Sever-Olimpiu
2    Vesa,Nicolae
2    Vulpe,Marian
2    Vreme,Teodor
2    Vinturache,Vlad
2    Vidolman,Radu
3    Aron,Gabriel
3    Buda,Marian
3    Bajenaru,Iulian
3    Branisteanu,Laurentiu
3    Butnariu,Gabriel
3    Bosnigeanu,Mihail
3    Badea,Cristian
3    Balcuta,Ilie
3    Bratu,Stefan
3    Damian,Madalin
3    Dumitru,Adrian
3    Ene,Stefan
3    Ecserescu,Bogdan
3    Gheorghe,Iulian
3    Gradila,Bogdan
3    Cismarescu,Nicolai
3    Hagi,Madalin
3    Raceala,Georgian
