<SingaporeBr>(nJA)	<¯o³nierze Marynarki Cesarskiej, wybi³a godzina waszej chwa³y! Wszystkie za³ogi lotnictwa Marynarki stacjonuj¹ce w Indochinach zosta³y skierowane do operacji ofensywnej na Pó³wyspie Malajskim przeciwko okrutnym wojskom despotycznych Brytyjczyków. Bombowce musz¹ daæ siê we znaki nieprzyjacielskim statkom i uderzyæ w angielskie lotniska i sk³ady towarów. Myœliwce bêd¹ os³aniaæ rejony ataków przed maszynami Buffalo i Hurricane angielskiego RAF-u - doœwiadczenie i wspania³e umiejêtnoœci naszych pilotów z pewnoœci¹ zapewni¹ nam zwyciêstwo. Do samolotów i niech ¿yje Cesarstwo!>
<SingaporeVictoryDb>(nJA)	<Nie spodziewaliœmy siê, ¿e pójdzie nam tak lekko. Genera³ Yamashita pokierowa³ wojskami z ogromn¹ bieg³oœci¹ i opanowa³ fortecê Singapur poœlednimi jednostkami. Lotnicy wspaniale zneutralizowali brytyjsk¹ flotê dalekowschodni¹ i jednostki lokalne RAF. Rz¹dy bia³ych w tym rejonie œwiata to ju¿ historia - dziêki tobie i twoim towarzyszom broni! Teraz musimy wkroczyæ do Birmy i do Indii - a potem zafundujemy sobie wakacje w Kalkucie.>
<SingaporeDefeatDb>(nJA)	<Operacja nie przebieg³a pomyœlnie, a genera³ Yamashita nie zdo³a³ wyzyskaæ efektu zaskoczenia. Brytyjczycy czekali na nas - w powietrzu, na morzu i na l¹dzie. Nie uda³o nam siê wy³¹czyæ floty wroga, która zada³a naszej marynarce powa¿ne straty. Nie z³amaliœmy te¿ dominacji RAF w powietrzu na Pó³wyspem Malajskim. Sztab Generalny w Tokio jest g³êboko rozczarowany nasz¹ postaw¹ i opracowuje nowe plany, aby zrekompensowaæ tê pora¿kê.>
<SingaporeDb>(nJA)		<Operacja by³a trudna, ale wreszcie uda³o nam siê wyprzeæ Brytyjczyków z Pó³wyspu Malajskiego. Straty by³y nieuniknione, ale cel uœwiêca³ wszelkie ofiary. Forteca Singapur to ju¿ historia, a nasze si³y mog¹ uderzyæ na Birmê i Holenderskie Indie Wschodnie, aby dokoñczyæ nasz¹ ekspansjê w Azji Po³udniowej.> <SingaporeBr>(aUK)		<Kilka godzin temu Japonia wypowiedzia³a wojnê Stanom Zjednoczonym atakuj¹c Flotê Pacyfiku stoj¹c¹ na kotwicy w Pearl Harbour. To dla nas jednoczeœnie dobra i z³a wiadomoœæ: dobre jest to, ¿e mo¿emy teraz liczyæ na pomoc USA w walce z pañstwami Osi. Niepokoj¹cy natomiast jest fakt, ¿e w najbli¿szych dniach bardzo prawdopodobny jest desant si³ japoñskich na Pó³wyspie Malajskim. Musimy byæ przygotowani na ka¿d¹ ewentualnoœæ. Dziœ wieczorem Marynarka Królewska wyp³ynie z Singapuru na poszukiwanie japoñskich transportowców. RAF ma za zadanie os³aniaæ statki oraz miasto Singapur, które z pewnoœci¹ nied³ugo zostanie zaatakowane z powietrza. Losy zwyciêstwa lub klêski na Malajach spoczywaj¹ w du¿ej mierze na barkach lotników RAF: nie zawiedŸcie nas i zniszczcie napastników albo Singapur bêdzie musia³ walczyæ o przetrwanie.>
<SingaporeBr>(*U*)		<Kilka godzin temu Japonia wypowiedzia³a wojnê Stanom Zjednoczonym atakuj¹c Flotê Pacyfiku stoj¹c¹ na kotwicy w Pearl Harbour. To dla nas jednoczeœnie dobra i z³a wiadomoœæ: dobre jest to, ¿e mo¿emy teraz liczyæ na pomoc USA w walce z pañstwami Osi. Niepokoj¹cy natomiast jest fakt, ¿e w najbli¿szych dniach bardzo prawdopodobny jest desant si³ japoñskich na Pó³wyspie Malajskim. Musimy byæ przygotowani na ka¿d¹ ewentualnoœæ. Dziœ wieczorem Marynarka Królewska wyp³ynie z Singapuru na poszukiwanie japoñskich transportowców. RAF ma za zadanie os³aniaæ statki oraz miasto Singapur, które z pewnoœci¹ nied³ugo zostanie zaatakowane z powietrza. Losy zwyciêstwa lub klêski na Malajach spoczywaj¹ w du¿ej mierze na barkach lotników RAF: nie zawiedŸcie nas i zniszczcie napastników albo Singapur bêdzie musia³ walczyæ o przetrwanie.>
<SingaporeVictoryDb>(*U*)	<Gratulacje, panowie! Japoñska oœmiornica zosta³a powstrzymana na progu Malajów. Oddzia³y Yamashity zosta³y odepchniête i musia³y siê okopaæ, aby broniæ siê przed naszymi kontratakami. Armia Cesarska dozna³a pierwszej pora¿ki, w du¿ej mierze dziêki tobie i twoim kolegom. Singapur jest bezpieczny i mo¿emy zacz¹æ planowaæ w jaki sposób na dobre usun¹æ st¹d Japoñczyków...>
<SingaporeDefeatDb>(*U*)	<Nie byliœmy w stanie przeciwstawiæ siê przewa¿aj¹cym japoñskim si³om inwazyjnym. Nasze straty na morzu i w powietrzu uniemo¿liwi³y nam obronê wybrze¿y Pó³wyspu Malajskiego przed desantami wroga. Genera³ Yamashita, który ju¿ doczeka³ siê przydomku "Tygrys Malajów" z ³atwoœci¹ opanowa³ ca³y pó³wysep i tak zwan¹, po¿a³owania godn¹, "fortecê" Singapur. To ca³kowita klêska! Tysi¹ce ¿o³nierzy wojsk Brytyjskiej Wspólnoty Narodów musia³o poddaæ siê bez jednego wystrza³u. Czy po tak gorzkiej lekcji Brytyjczycy jeszcze kiedykolwiek bêd¹ w stanie powróciæ na Daleki Wschód?>
<SingaporeDb>(*U*)		<Zrobiliœmy wszystko, co w naszej mocy, ale Malaje i Singapur w koñcu wpad³y w rêce wroga po wielu tygodniach zaciek³ych walk i krwawych szturmów. Dziêki dobremu dowodzeniu, nasze wojska nie zosta³y otoczone i w dobrym stanie wycofa³y siê do Birmy. Tam musimy stoczyæ prawdziw¹ bitwê o przysz³oœæ Imperium Brytyjskiego na Dalekim Wschodzie!>

<Singapore2Br>(aJA)	<¯o³nierze Armii Cesarskiej, wybi³a godzina waszej chwa³y! Wszystkie za³ogi lotnictwa Armii stacjonuj¹ce w Indochinach zosta³y skierowane do operacji ofensywnej na Pó³wyspie Malajskim przeciwko okrutnym wojskom despotycznych Brytyjczyków. Bombowce musz¹ daæ siê we znaki nieprzyjacielskim statkom i uderzyæ w angielskie lotniska i sk³ady towarów. Myœliwce bêd¹ os³aniaæ rejony ataków przed maszynami Buffalo i Hurricane angielskiego RAF-u - doœwiadczenie i wspania³e umiejêtnoœci naszych pilotów z pewnoœci¹ zapewni¹ nam zwyciêstwo. Do samolotów i niech ¿yje Cesarstwo!>
