<DGen:> 		<*>
	--------------------------------------------------------------------------------------------
		 Translation guidelines. 

	Every line not starting with symbol < will be ignored. You may use it for comments.
 	Otherwise every message consists of two parts: message ID and Message text,
	both in < > brackets.

	For every ID code there may be up to 10 variants of texts - one will be picked up randomly.
	You don't need to translate every line exactly, you just need to describe the same situation.

	Symbols \n ans %s must be left intact. \n means new line, %s means that some substring will be 
	placed there - usually town name. Some lines have space in the end. Please leave it in place -
	it means that there will be another sentence that will continue the briefing. The space separates them. 

	Message texts cannot contain new lines - make them as long as you need (but not longer than 256 chars).
	--------------------------------------------------------------------------------------------
	--------------------------------------------------------------------------------------------

	The following messages are the first part of the briefing. 
	They describe general situation and target area	 		
	--------------------------------------------------------------------------------------------

<DeCAP>		<\nKameraden!\nHeute jagen wir die Amis in der Gegend von %s. Wie Ihr wißt, ist die Luftüberlegenheit der Feinde groß, also seid auf der Hut!\n>
<DeCAP>		<\nZiel für heute ist %s. Dort fanden in den letzten Tagen heftige Gefechte statt, daher ist 100%%ig mit Feindkontakt zu rechnen.\n>
<DeCAP>		<\nHergehört! Heutiges Primärziel ist freie Jagd im Luftraum über %s. Dort ist eigene Flak stationiert, daher wird die feindliche Aktivität dort nicht sehr hoch sein. Verlaßt nicht den zugewiesenen Abschnitt, solange nicht größere Konzentrationen feindlicher Flieger passieren. \n>
<DeCAP>		<\nKameraden, heute werden wir statt der üblichen Jabo- oder Bomber-Abfang-Einsätze mal wieder freie Jagd fliegen! %s ist in letzter Zeit ein Hauptziel der Anglo-Amerikaner, hoffentlich holen wir jeder ein, zwei 'runter! \n>
<DeCAP>		<\nKameraden!\nHeute haben wir Befehle erhalten, die Gegend um %s anzufliegen. Die Amis sind wie immer in vielfacher zahlenmäßiger Überlegenheit, aber in diesem Bereich sollten wir heute die Luftüberlegenheit herstellen können. Überraschen wir sie und zeigen wir ihnen, zu was die deutsche Jagdwaffe imstande ist! Wieder wollen Sie hier angreifen, aber wir werden sie zurückwerfen. Kämpfen Sie bis zur letzten Patrone, um die amerikanischen Luftpiraten aufzuhalten. Konzentrieren Sie sich dabei auf die Bomber, und halten Sie sich fern vom Begleitschutz.>
<DeCAP>		<\nKameraden!\nIch muß Euch wohl nicht erst sagen, wie wichtig die Anstrengungen jedes Einzelnen von Euch für den Endsieg sind. Wir haben nicht genug Flugzeuge, und jeder Einsatz den wir fliegen muß soviel Wirkung wie möglich zeigen! Unsere Staffel soll heute über %s patroullieren.\n>
<DeCAP>		<\nSpäter am heutigen Tag werden Jabos der Luftwaffe eingesetzt. Sie werden die Gegend von %s auf Ihrem Weg zum Ziel passieren. Dort sind sehr häufig amerikanische Jäger anzutreffen. Decken Sie große Bereiche und suchen sie den Kampf mit dem Gegner, um so zu verhindern, dass die Amis unsere Kameraden von der Schlachtgruppe abfangen. \n>
<DeCAS>		<\nKameraden! Unser heutiges Ziel liegt bei %s. Es ist wohl nicht notwendig, Euch auf die Not hinzuweisen, in der unser Heer dort steht! Eine Schwächung der gegnerischen Truppenteile dort würde unserer Verteidigung sehr helfen.\n>
<DeCAS>		<\nKameraden!\nWir greifen heute bei %s an. Das Ziel ist taktisch wie auch strategisch wichtig! Der Amerikaner weiß das auch, die Sache wird also kein Spaziergang.\n>
<DeCAS>		<\nIch bitte um Eure Aufmerksamkeit! Heute werden wir eine weitere Bodenangriffsmission fliegen. Ziel ist %s. Dort wurden massive gegnerische Truppenbewegungen beobachtet. Das heißt, neben dem Primärziel sollten auch genügend Gelegenheitsziele vorhanden sein. \n>
<DeCAS>		<\nJungs, mal wieder ein Bombenangriff für Euch. Ziel: %s. Dieses mal wird's nicht leicht, in der Gegend wimmelt es nur so von Mustangs und Konsorten. Außerdem kann man von starker Flak ausgehen.\n>
<DeCAS>		<\nKameraden!\nUnser heutiges Ziel ist %s. Die Aufklärung ist recht ungenau, also kennen wir die genaue Lage nicht. Aber sicher gibt es genug amerikanisches Militär in der Gegend. Aufgrund der schnellen Entwicklung der letzten Tage rechnen wir mit massig Bodenzielen, die nur darauf warten, unter Euren Schlägen zerstört zu werden!\n>
<DeCAS>		<\nKameraden!\nEs ist mal wieder an der Zeit, unseren Jazz-hörenden, Neger-liebenden und Zivilisten-mordenden amerikanischen Freunden einen weiteren Besuch abzustatten. Sie werden sich bestimmt über unsere Speziallieferung im Abschnitt %s freuen.\n>
<DeCAS>		<\nKameraden!\nWie Ihr sicher schon anhand der Arbeiten der Waffenwarte festgestellt habt, wird heute ein weiterer Bodenangriff stattfinden. Ziel: %s.\n>

<DeEsc>		<\nKameraden!\nHeute fliegen wir Begleitschutz für unsere Schlächter nach %s. Wir rechnen mit heftiger Gegenwehr auch in der Luft, also bleibt eng bei den Schlachtfliegern und laßt Euch nicht von den Amis abdrängen.\n>
<DeEsc>		<\nKameraden!\nEs ist Zeit für einen weiteren Begleit-Einsatz. Eine Jabo-Gruppe wird in %s zuschlagen. Letztes mal wurden sie dort von Mustangs angegriffen und stark dezimiert. Macht Eure Arbeit gut und bringt sie wieder nach Hause!\n>
<DeEsc>		<\nKameraden!\nEs ist Zeit für einen weiteren Begleit-Einsatz. Eine Jabo-Gruppe wird in %s zuschlagen. Letztes mal wurden sie dort von Thunderbolts angegriffen und stark dezimiert. Macht eure Arbeit gut und bringt sie wieder nach Hause!.\n>
<DeEsc>		<\nKameraden!\nEs ist Zeit für einen weiteren Begleit-Einsatz. Eine Jabo-Gruppe wird in %s zuschlagen. Letztes mal wurden sie dort von amerikanischen Jägern angegriffen und ziemlich gefleddert. Erfüllt Eure Pflicht und bringt sie alle wieder nach Hause!.\n>
<DeEsc>		<\nMal wieder Begleitschutz heute... Vielleicht erinnert Ihr Euch noch an %s, unser Ziel für heute. Damals ein sehr erfolgreicher Einsatz! Wir überraschten die Amerikaner total, unsere Bomber kamen ohne Verluste heim und wir konnten einige Abschüsse erzielen. Vielleicht wird's heute ebenso!\n>
<DeEsc>		<\nKameraden!\nHeute wird's lustig! Ihr eskortiert Bomber nach %s und zurück. Rechnet mit Flak in Hülle und Fülle und mit mehr als genug Fliegern in der Luft.\n>
<DeEsc>		<\nAlso Jungs, hört mal her! Gute Neuigkeiten für diejenigen unter Euch mit Halsschmerzen, die noch ein paar Abschüsse brauchen. Später heute werden unsere Jabos ein lohnendes Ziel bei %s angreifen. Ami-Jäger treiben sich sicher dort rum. Als Begleitschutz gibt es also einiges für Euch zu tun. \n>
<DeEsc>		<\nKameraden!\nUnsere Jabos greifen weiterhin erfolgreich die  Anglo-Amerikanischen Bodentruppen an, und wieder ist es unsere Pflicht, Ihnen über einem wichtigen Ziel den Rücken freizuhalten. Heute geht's nach %s.\n>
<DeEsc>		<\nPiloten!\nIn Eurer heutigen Mission geht es darum, Jabos nach %s zu begleiten. Die Meisten kennen die Randbedingungen, also halte ich mich kurz. Bleibt über den Bombern, bewahrt Funkstille und laßt Euch nicht durch Luftkämpfe von den Kameraden trennen. Haltet Eure Umgebung stets im Auge und kommt sicher wieder nach Hause!\n>

<DeEscP>	<\nKameraden!\nHeute ein Spezialauftrag: Tante Ju's werden Fallschirmjäger über %s absetzen. Paßt gut auf unsere Jungs auf! Das Kommandounternehmen ist äußerst wichtig! Verhindert, daß amerikanische Jäger bis zu den Truppentransportern durchdringen, bevor diese am Ziel sind!\n>
<DeEscR>	<\nKameraden!\nHeute wird ein Hochgeschwindigkeits-Aufklärer über %s fotografieren. >
<DeRecAF>	<\nStaffelkameraden!\nEs gibt Berichte über starke Aktivitäten auf unserem alten Flughafen in %s. Unsere Aufklärung benötigt dringend Information über die dort stationierten feindlichen Flugzeugtypen und deren Anzahl.\n>

<DeRecAFD> < Bringt Fotos mit. Wir müssen wissen, wie die Lage dort ist! >
<DeRecAFD> <Wir wissen nicht, was Sie dort unternehmen. >

<DeScramSit>	<\nFeindalarm! Dies ist keine Übung! Feindliche Bomber sind gemeldet! >
<DeScramSit>	<\nAlarm, Alarm! Feindliche Einflüge in Richtung auf unseren Flugplatz sind gemeldet! >
<DeScramSit>	<\nFeindliche Einflüge! Wir haben gerade noch Zeit, um auf Abfanghöhe zu kommen! Schnell, schnell, schnell!!! >
<DeScram>	<Startet sofort, bewegt Eure Hintern! >
<DeScram>	<Ein komplettes Geschwader ist ungetarnt abgestellt, laßt Sie nicht unsere Flugzeuge am Boden zerstören! >
<DeSwp>		<\nKameraden!\nHeute geht's nach %s. >
<DeSwp>		<\nJungs, heutiges Ziel ist %s. >
<DeSwp>		<\nJungs, heute geht's nach %s. >
<DeTranInt>	<\nKameraden!\n%s ist ein wichtiger strategischer Punkt für uns und den Gegner. Seine Truppen dort werden zum großen Teil aus der Luft versorgt, also könnt Ihr die Lage dort stark zu unseren Gunsten verändern, wenn Ihr die feindlichen Transporter abschießt.\n>
<DeTranRep>	<\nKameraden!\nWir verlegen unter dem Druck der näherrückenden Front. %s wird wohl von einem anderen Geschwader genutzt, wir werden nach %s verlegen.\n>
<DeTranRep>	<\nPiloten! Wir müssen %s kurzfristig verlassen. Ihr habt nur noch wenige Stunden, um Eure Sachen zu packen. Unser gesamtes Geschwader muß ab morgen von %s aus einsatzbereit sein.\n>
<DeTranRep>	<\nKameraden!\nWie Ihr wißt, rücken die Amerikaner schnell vor. Wir müssen %s verlassen und ziehen weiter nach %s, unserem neuen Einsatzfluhafen.\n>

<RuCAPCaen>		<\nGentlemen!\nHeute zeigen wir's den Jerries über Caen. Wie Ihr alle wißt, ist Caen die größte Stadt der Normandie, ein wichtiger Knotenpunkt für Nachrichten und Nachschublinien, sowie Schlüssel zu der Straße, die direkt nach Paris führt.\nWie Ihr auch wißt, war die Luftaktivität der Gegner sehr hoch, also seid auf der Hut!\n>
<RuCAPCaen>		<\nGentlemen!\nHeute jagen wir Jerry über Caen. Wie Ihr wißt, war die Luftaktivität der Gegner sehr hoch, also seid immer auf der Hut! \n>
<RuCAPCaen>		<\nZiel für heute ist Caen. Wir suchen weiterhin die Luftwaffe in der Luft und am Boden. Da in dieser Gegend heftige Gefechte stattfanden in letzter Zeit, ist die Chance, auf den Gegner zu treffen, sehr hoch! \n>
<RuCAPCaen>		<\nAll right boys, Euer Primärziel heute ist der Luftraum über Caen. Die Gegend ist sehr wichtig, da unsere Bomber sie oft passieren auf Ihrem Weg zurück vom Ziel. Daher hängen die Deutschen dort gerne herum und suchen Nachzügler.\n>
<RuCAPBastogne>		<\nHeutiges Ziel ist Bastogne. Jerry will uns diese Stadt unbedingt wieder abknüpfen, und unsere GI's dort sterben dafür, ihn aufzuhalten. Ihr könnt Euren Arsch verwetten, dass die Luftwaffe dort auftauchen wird und Ärger macht. Unsere Jungs am Boden verlassen sich drauf, dass wir dafür sorgen, dass keine Luftwaffenbomben dort vom Himmel fallen. \n>
<RuCAPBastogne>		<\nGentlemen!\nIhr seid abkommandiert, über Bastogne zu patroullieren. Wir sind in absoluter numerischer Überlegenheit im gesamten Operationsgebiet, aber der Jerry ist noch in der Lage, lokale Luftüberlegenheit herzustellen. Andere Fighter Groups patroullieren in den benachbarten Sektoren, also paßt auf, bevor Ihr schießt, dass Ihr einen Deutschen vor Euch habt...\n>
<RuCAPFalaise>		<\nAll right boys, Euer Primärziel heute ist der Luftraum über Falaise. Ich muß nicht erst hervorheben, wie wichtig Falaise für unsere Pläne ist. Die Wehrmacht hat riesige Mengen an Mensch und Material in der Gegend konzentriert, und die Kontrolle über die Luft dort gibt uns die Chance, Hitler wirklich hart zu treffen, ohne zu viele unserer Männer am Boden zu opfern. \n>
<RuCAPPointe_Du_Hoc>		<\nGentlemen, als kleine Abwechslung zu den üblichen Begleitschutz- und Bodenangriffs-Missionen fliegen wir heute mal einen der guten, alten Jagdeinsätze! Wir werden den Deutschen die Luftherrschaft über dieser Gegend entreißen, die man "Pointe Du Hoc" nennt. Dies ist der höchste Punkt am ganzen Strand, und die Deutschen haben dort Festungsanlagen errichtet, die mit links eine komplette Invasionsarmee abwehren könnten. Das Gebot der Stunde lautet, diese Anlagen aus der Luft zu zerstören, bevor sie uns am Boden Ärger machen. \n>

<RuCAP>		<\nGentlemen!\nHeute jagt Ihr den Jerry in der Gegend von %s. Wir Ihr wißt, war dort in den letzten Tagen sehr viel los, also seid immer auf der Hut.\n>
<RuCAP>		<\nZiel für heute ist %s. Wir suchen die Luftwaffe in der Luft wie auch am Boden, und da dort einiges los war in den letzten Tagen, ist die Wahrscheinlichkeit, auf den Feind zu treffen, sehr hoch.\n>
