*(GC II/4 & FAFL) De la Bataille de France \u00E0 la France libre.
Campagne dynamique pour un pilote de chasse fran\u00E7ais du GC II/4 puis des FAFL en Afrique du Nord et en Russie: des Diables Rouges et Petits Poucets \u00E0 la France libre. \n\nPuis gagnez au R\u00E9giment de Chasse Normandie ses titres de gloire sur la rivi\u00E8re Ni\u00E9men et au-del\u00E0, de la Lithuanie jusqu'au coeur de la Prusse Orientale, avant l'assaut final sur Berlin. Aidez nos fr\u00E8res russes \u00E0 an\u00E9antir d\u00E9finitivement la menace nazie.
DDGLaf4 France 1940: la dr\u00F4le de guerre.
BOFLaf4 France 1940: la derni\u00E8re bataille?
MedFAFL Lybie 1941: la d\u00E9fense de Tobrouk.
MedAlsace Lybie 1942: la d\u00E9fense de Bir-Hakeim.
Rzhev42 Rzhev 1942: les d\u00E9buts en Russie.
Kursk Kursk 1943: la guerre totale.
Channel43Wb Normandie, fin 1943: la Forteresse Europe.
Bagration Smolensk 1944: l'offensive d\u00E9cisive.
KurlandOct44 Courlande, octobre 1944: la perc\u00E9e Sovi\u00E9tique.
KurlandNov44 Courlande, novembre 1944: la deuxi\u00E8me bataille.
KurlandDec44 Courlande, d\u00E9cembre 1944: la troisi\u00E8me bataille.
KurlandJan45 Courlande, janvier 1945: la quatri\u00E8me bataille.
KurlandFeb45 Courlande, f\u00E9vrier 1945: la cinqui\u00E8me bataille.
Berlin45f Berlin, avril 1945: la victoire finale.
