<DGen:>		<*>
	--------------------------------------------------------------------------------------------
		 Translation guidelines. 

	Every line not starting with symbol < will be ignored. You may use it for comments.
 	Otherwise every message consists of two parts: message ID and Message text,
	both in < > brackets.

	For every ID code there may be up to 10 variants of texts - one will be picked up randomly.
	You don't need to translate every line exactly, you just need to describe the same situation.

	Symbols \n ans %s must be left intact. \n means new line, %s means that some substring will be 
	placed there - usually town name. Some lines have space in the end. Please leave it in place -
	it means that there will be another sentence that will continue the briefing. The space separates them. 

	Message texts cannot contain new lines - make them as long as you need (but not longer than 256 chars).
	--------------------------------------------------------------------------------------------
	--------------------------------------------------------------------------------------------

	The following messages are the first part of the briefing. 
	They describe general situation and target area	 		
	--------------------------------------------------------------------------------------------

<RuRescueSit> <\nOur neighbours just lost one of their pilots, who participated in an attack of %s. They say he crash landed somewhere in the area. >


<DeCAP>		<\nKameraden!\nToday you are hunting Amis in the %s area. As you know the air activity has been extra hot in the recent days, so be on the lookout at all times!\n>
<DeCAP>		<\nDestination for today is going to be %s. As the area has seen increased amount of fighting in the recent day there is an almost 100% probability of encountering enemy planes in the air.\n>
<DeCAP>		<\nAll right, your primary objective for today is to patrol the %s airspace. You'll have the added benefit of friendly flak below, so the enemy will most likely not loiter long in the area. Don't follow anyone out of your assigned sector however, in case more than one group of enemy planes passes through.\n>
<DeCAP>		<\nKameraden, as a breather from your usual intercept and ground attack duties, we're doing some good old-fashioned air combat today! The %s area has recently become a prime attraction with Ami planes, and all of us can hope to score a kill or two!\n>
<DeCAP>		<\nKameraden!\nWe are ordered to the %s sector today. Amis have a huge numerical superiority in the overall area of operations, but we can still put enough planes in a given sector to have control over local airspace. Let's surprise the Indians today and put a wall of steel on their way to target.Another raid on this city, apparently. We will scramble to intercept these American sky bandits. Keep on attacking until you run out of ammo and try to avoid the escort fighters, if at all possible!>
<DeCAP>		<\nKameraden!\nI don't have to tell you how important each one of you is to our overall war effort. We don't have many planes to spare, and each mission you fly should have as much effect as possible. Today our squadron is sent up to patrol the %s airspace.\n>
<DeCAP>		<\nLater on today our Jabos will fly several missions striking important targets near the front line. They will have to pass through the %s area on the way to target, and that happens to be a new favorite spot for American fighters to patrol. You're flying there now to ensure the airspace is squeaky clean for our Jabos later. Cover a wide area, aggressively seek out Ami planes and make sure they can't stay in the air to intercept our strike flights.\n>
<DeCAS>		<\nKameraden! Our today's target is located near %s. I don't have to tell you how important the area is for the ground war, and you'll be doing our troops down below a huge service by striking the Anglo-American forces there.\n>
<DeCAS>		<\nKameraden!\nWe are striking the %s area in today's mission. It's important from both the strategic and tactical standpoint. The Amis know this too, so don't expect a walk in the park today.\n>
<DeCAS>		<\nAll right, it's another ground attack mission for us today. The target is %s. There have been massive enemy troop movements in the recent days, so in addition to your primary target you can expect plenty of targets of opportunity throughout the mission area.\n>
<DeCAS>		<\nMore ground pounding for you boys today. Target: %s. It's not going to be easy this time, the area is swarming with trigger happy Amis. You can expect to receive plenty of flak throughout the mission.\n>
<DeCAS>		<\nKameraden!\nOur today's objective is %s. The intelligence is spotty and we're don't know the exact situation around the target, but rest assured there'll be plenty of Amis. Ground war has been quite hectic there lately, so expect all sorts of juicy targets scattered around the countryside.\n>
<DeCAS>		<\nKameraden!\nIt's time to pay our jazz-listening negro-loving civilian-murdering American friends another visit. They're long overdue for our special delivery in the %s sector.\n>
<DeCAS>		<\nKameraden!\nAs you can probably tell by the mechanics loading ground ordnance on your planes, you're flying another ground attack mission today. Target: %s.\n>

<DeEsc>		<\nKameraden!\nFor this mission you will be escorting our Jabos on their way to %s. Heavy enemy fighter presence is expected, so stay above the Jabos at all times and do not leave them to engage in dogfights with the Amis.\n>
<DeEsc>		<\nKameraden!\nIt's time for another escort mission. Our Jabos are hitting %s again. The last time they suffered heavy casualties from American Mustangs. Do your job and make sure it doesn't happen this time.\n>
<DeEsc>		<\nAnother escort mission for us today. Some of you may remember %s, our target for today, from a while ago. It was a good mission back then, a complete surprise to the Americans, with no losses to our bombers and a few confirmed kills for our squadron. Let's keep it this way today.\n>
<DeEsc>		<\nKameraden!\nLooks like we're about to have some fun today. You'll be escorting some bombers to %s and back. Expect plenty of flak, and plenty of Luftwaffe planes in the air.\n>
<DeEsc>		<\nAll right boys, listen up! I have good news for those of you who are itching to rack up some kills. Later in the day our Jabos are mounting a large raid on a very juicy target, %s. Ami fighters are sure to be there. As the primary escort you should see plenty of action.\n>
<DeEsc>		<\nKameraden!\nOur Jabos continues to have considerable success destroying Anglo-American forces on the ground, and it is again our duty today to escort them to an important target. This time it's %s.\n>
<DeEsc>		<\nKameraden!\nYour today's mission involves escorting some Jabos to %s. Most of you have done this before, so I'm going to be brief. Stay above the bombers, maintain strict radio discipline, do not get involved in dogfights. Keep your head on a swivel, and try to come home safe.\n>

<DeEscP>	<\nKameraden!\nFor this mission you are escorting some old good Tante Jus which will be dropping paratroops over %s. Do your job well gentlemen, don't let the Amis bring down planes full of our troops before they reach their target.\n>
<DeEscR>	<\nKameraden!\nToday our high-speed recon plane will be photographing the %s area. >
<DeRecAF>	<\nKameraden!\nWe have reports of extremely heavy enemy air activity at our old %s airfield. Our intelligence is dying to get more information on the types and numbers of planes stationed there.\n>

<DeRecAFD> <Bring back photographs, we have to know what is going on there. >
<DeRecAFD> <We have to know what they have there. >

<DeScramSit>	<\nAir raid! This is no drill! Enemy bombers are reported inbound! >
<DeScramSit>	<\nAlarm, alarm! Enemy planes are on their way towards our airfield! >
<DeScramSit>	<\nEnemy planes inbound! We barely have time to get to altitude! Let's go, let's go, let's go! >
<DeScram>	<Take off immediately, don't sit around waiting in the pattern! >
<DeScram>	<Our whole geschwader is parked out in the open, don't let them destroy our planes on the ground! >
<DeSwp>		<\nKameraden!\nWe're going to %s today. >
<DeTranInt>	<\nKameraden!\n%s is an important strategic objective both for us and the Germans. Wehrmacht and SS troops there are largely supplied from the air, so by destroying enemy transports you can help to tip the local balance greatly in our favor.\n>
<DeTranIntD> <\nKameraden!\nToday we're going to be hunting easy prey, American transport planes. Keep your airspeed up, stay clear of the escorts, and ignore any targets of opportunity on the ground.\n>
<DeTranRep>	<\nKameraden!\nOur squadron is being moved away from moving the front line. %s will probably be used by another Geschwader, %s will be our new home for now.\n>
<DeTranRep>	<\nKameraden, we have to leave %s on really short order. You only have a few hours to pack your things. Our whole Geschwader has to be operational at %s no later than tomorrow.\n>
<DeTranRep>	<\nKameraden!\nAs you know the front line is moving fast, and without much notice we're leaving %s and moving to our new home, %s.\n>

<RuCAPCaen>		<\nGentlemen!\nToday we're going to stalk Jerry over Caen. As all of you of course know, Caen is the largest city in Normandy, an important junction of major lines of communications, and a key to the highway leading straight to Paris.\nAs you know the air activity has been extra hot in the recent days, so be on the lookout at all times!\n>
<RuCAPCaen>		<\nGentlemen!\nToday you are hunting Jerry over Caen. As you know the air activity has been extra hot in the recent days, so be on the lookout at all times!\n>
<RuCAPCaen>		<\nTarget for today is going to be Caen. We continue to seek out enemy planes in the air and on the ground, and as the area has seen increased amount of fighting in the recent day there is a high chance of encountering enemy planes in the air.\n>
<RuCAPCaen>		<\nAll right boys, your primary objective today is the Caen airspace. The area is very important as our bombers often pass over it on their way back from the target, so Germans love to loiter there looking for stragglers.\n>
<RuCAPBastogne>		<\nTarget for today is Bastogne. The Jerry is really dying to take that city away from us, and our boys on the ground are dying trying to hold it. You can bet your sweet asses that Luftwaffe is going to come there looking for action, and our boys on the ground really depend on you to keep German bombs from falling on their heads.\n>
<RuCAPBastogne>		<\nGentlemen!\nYou are assigned to patrol Bastogne today. We have a huge numerical superiority in our overall area of operations but Jerry can occasionally put enough planes in a given sector to have control over local airspace. Other fighter groups are patrolling nearby sectors, so get your aircraft recognition up to speed and make sure it's a Jerry before firing.\n>
<RuCAPFalaise>		<\nAll right boys, your primary objective today is the Falaise airspace. I don't have to tell you men how important the Falaise is to our war effort. The Germans have gathered a huge amount of equipment and men in the area, and control over the city airspace would give us a chance to really hurt Hitler without sacrificing a lot of our men on the ground.\n>
<RuCAPPointe_Du_Hoc>		<\nGentlemen, as a breather from your usual escort and ground attack duties, we're doing some good old-fashioned  air combat today! We're going to try to wrestle the control of the air space away from the Germans over this area called Pointe Du Hoc. It's the highest elevation point on the whole beach, and the Germans set up a well fortified position there which can single-handedly defeat a large invasion force. It's imperative that it's destroyed from the air before it can cause trouble for us on the ground.\n>

<RuCAP>		<\nGentlemen!\nToday you are hunting Jerry in the %s area. As you know the air activity has been extra hot in the recent days, so be on the lookout at all times!\n>
<RuCAP>		<\nTarget for today is going to be %s. We continue to seek out enemy planes in the air and on the ground, and as the area has seen increased amount of fighting in the recent day there is a high chance of encountering enemy planes in the air.\n>
<RuCAP>		<\nAll right boys, your primary objective today is the %s airspace. The area is very important as our bombers often pass over it on their way back from the target. Our flak out there is not yet well organized, so Jerry loves to loiter there looking for stragglers.\n>
<RuCAP>		<\nGentlemen, as a breather from your usual escort and ground attack duties, we're doing some good old-fashioned  air combat today! The %s area has been swarming with Luftwaffe planes lately, so all of you can hope to score a kill or two.\n>
<RuCAP>		<\nGentlemen!\nYou are assigned to patrol the %s sector today. We have a huge numerical superiority in our overall area of operations but Jerry can occasionally put enough planes in a given sector to have control over local airspace. Other fighter groups are patrolling nearby sectors, so get your aircraft recognition up to speed and make sure it's a Jerry before firing.\n>
<RuCAP>		<\nThere are several high importance targets in the area, and with our somewhat limited forces we're being spread thin. For today our focus is going to be on protecting our own airspace in favor of attacking enemy targets. You are going to patrol over %s today. Don't follow anyone out of your assigned sector, stay there in case more than one group of enemy planes decides to attack.\n>
<RuCAS>		<\nAll right, it's mud moving time! I'm sure you'll be happy to know that the geniuses at the top have you going to a little town called %s. You might have heard the area referred to as flak alley, but supposedly that's been cleaned up recently.\n>
<RuCAS>		<\nGentlemen! Our target for today is located near %s. I don't have to tell you how important the area is for the ground war, and you'll be doing our boys down below a huge service by striking the Germans there.\n>
<RuCAS>		<\nGentlemen!\nWe are striking the %s area in today's mission. It's important from both the strategic and tactical standpoint. The Germans know this too, so don't expect a walk in the park today.\n>
<RuCAS>		<\nAll right, it's another ground attack mission for you boys. The target is located in %s. There have been massive enemy troop movements in the recent days, so in addition to your primary target you can expect a plenty of targets of opportunity throughout the mission area.\n>
<RuCAS>		<\nMore ground pounding for you boys today. Target : %s. It's not going to be easy this time, the area is swarming with trigger happy Germans. You can expect to receive plenty of flak throughout the mission.\n>
<RuCAS>		<\nGentlemen!\nOur today's objective is %s. The intelligence is spotty and we're not quite sure what you'll be attacking, but rest assured you'll hit something. Enemy ground activity has been quite hectic there lately, so there will be no shortage of targets of opportunity.\n>
<RuCAS>		<\nGentlemen!\nIt's time to pay our friends in the Wehrmacht another visit, they've been long overdue for our special delivery in the %s sector.\n>
<RuCAS>		<\nGentlemen!\nThe command probably has heard some of our pilots complain about repetitive missions. So today for something completely different you'll be attacking ground targets in the %s sector.\n>
<RuCAS>		<\nGentlemen!\nAs you could probably tell by the mechanics loading ground ordnance on your planes, you're flying another ground attack mission today. Target: %s.\n>

<RuEsc>		<\nEscort duty for you boys today. Bombers are going to be missing every possible target in the %s area, and you have to make sure they can't blame it on the Luftwaffe.\n>
<RuEsc>		<\nGentlemen!\nFor this mission you will be escorting bombers on their mission to %s. Heavy enemy fighter presence is expected, so stay with the bombers at all times and do not engage in dogfights with the German fighters.\n>
<RuEsc>		<\nGentlemen!\nIt's time for another escort mission. Bombers are bombing %s again. The last time they suffered heavy casualties on their return trip. Do your job gentlemen and make sure it doesn't happen this time.\n>
<RuEsc>		<\nAnother escort mission for us today. Some of you may remember %s, our target for today, from a while ago. It was a good mission back then, with no losses to the bombers and a few confirmed kills for ourselves. Let's keep it this way today.\n>
<RuEsc>		<\nGentlemen!\nLooks like we're about to have some fun today. You'll be escorting some bombers all the way to %s and back. Expect plenty of flak, and plenty of Luftwaffe planes in the air.\n>
<RuEsc>		<\nAll right boys, listen up! I have good news for those of you who are itching to rack up some kills. Later in the day our bombers are mounting a large raid on a very juicy target, %s. The Luftwaffe is sure to be there. As the primary escort you should see plenty of action.\n>
<RuEsc>		<\nGentlemen!\nOur bombers continues to have considerable success destroying Hitler's machine of war, and it is again our duty today to escort them to an important target. This time it's %s.\n>
<RuEsc>		<\nBoys, listen up! Today's mission has just been ordered, we're being sent up immediately with little time for planning. Apparently a British recon just came back with some photos from %s, and it's important enough to send a bunch of bombers there. You'll be escorting them all the way to target and back.\n>
