// 1943 - hard
[Operations]
oRuBalloon	10622:50509 			VVS 1Y			LW 0F
oRuBalloon	10622:50509 			VVS 2Y			LW 2F
oDeBalloon	10622:50509 			VVS 1F			LW 2Y
oDeBalloon	10622:50509 			VVS 2F			LW 2Y
oRuRescue	10622:50509 			VVS 2Y			LW 0F
oRuRescue	10622:50509 			VVS 2Y			LW 2F
oRuRescue	10622:50509 			VVS 2Y 2F		LW 2F
oRuRescue	10622:50509 			VVS 4Y 2F		LW 4F
oRuVerify	10622:50509	 			VVS 2Y			LW 0F
oRuVerify	10622:50509 			VVS 2Y			LW 2F
oRuVerify	10622:50509 			VVS 2Y 2F		LW 2F
oRuVerify	10622:50509				VVS 2Y 2F		LW 4F
oDeRescue	10622:50509				VVS 0F			LW 2Y
oDeRescue	10622:50509				VVS 2F			LW 2Y
oDeRescue	10622:50509				VVS 2F			LW 2Y 2F
oDeRescue	10622:50509				VVS 4F			LW 4Y 2F
oDeVerify	10622:50509				VVS 2F			LW 2Y
oDeVerify	10622:50509				VVS 0F			LW 2Y
oDeVerify	10622:50509				VVS 4F			LW 4Y 2F
oDeVerify	10622:50509				VVS 2F			LW 2Y
oRuRecon	10622:50509				VVS 2Y			LW 0F
oRuRecon	10622:50509				VVS 2Y			LW 2F
oRuRecon	10622:50509				VVS 2Y 2F		LW 2F 2F 2F
oRuRecon	10622:50509				VVS 2Y 2F		LW 0F
oDeRecon	10622:50509				VVS 2F			LW 2Y
oDeRecon	10622:50509				VVS 0F			LW 2Y
oDeRecon	10622:50509 			VVS 0F			LW 2Y 2F
oDeRecon	10622:50509 			VVS 2F 2F 2F	LW 2Y 6F 
oDeScramble	10622:50509				VVS 6Bx			LW 4Y  
oDeScramble 10622:50509				VVS 9Bx			LW 8Y  
oDeScramble 10622:50509				VVS 3Bx			LW 4Y  
oDeScramble 10622:50509				VVS 6Bx			LW 4Y  
oRuScramble 10622:50509				VVS 8Y			LW 9Bx  
oRuScramble 10622:50509				VVS 4Y			LW 9Bx  
oRuScramble 10622:50509				VVS 4Y			LW 4Bx  
oRuScramble 10622:50509				VVS 4Y			LW 6Bx  
oDeAttackAF 10622:50509				VVS 2F			LW 6Y 2F
oDeAttackAF 10622:50509				VVS 2F			LW 6Y 8F
oDeAttackAF 10622:50509				VVS 4F			LW 8Y 8F
oDeAttackAF	10622:50509				VVS 4F			LW 6Y 4F
oDeAttackAF	10622:50509				VVS 2F			LW 6Y 8F
oDeAttackShips 10622:50509			VVS 0F			LW 6Y 4F
oDeAttackShips 10622:50509			VVS 0F			LW 6Y 2F
oDeAttackShips 10622:50509			VVS 2F			LW 6Y 8F
oDeAttackShips 10622:50509			VVS	0F			LW 8Y 8F
oDeAttackShips 10622:50509			VVS 4F			LW 6Y 4F
oDeAttackShips 10622:50509			VVS 2F			LW 6Y 8F
oDeAttackArmor 10622:50509			VVS 0F 			LW 6Y 4F
oDeAttackArmor 10622:50509			VVS 4F 			LW 6Y 4F
oDeAttackArmor 10622:50509			VVS 0F			LW 3Y 4F  
oDeAttackArmor 10622:50509			VVS 2F	 		LW 6Y 4F  
oDeAttackArmor 10622:50509			VVS 0F  		LW 9Y 4F  
oDeAttackArmor 10622:50509			VVS 4F	 		LW 6Y 6F  
oDeAttackArmor 10622:50509			VVS 0F			LW 6Y 2F
oDeAttackCluster 10622:50509		VVS 0F	 		LW 6Y 4F
oDeAttackCluster 10622:50509		VVS 0F		 	LW 6Y
oDeAttackCluster 10622:50509		VVS 2F 			LW 3Y 4F  
oDeAttackCluster 10622:50509		VVS 0F		 	LW 6Y 4F  
oDeAttackCluster 10622:50509		VVS 2F	 		LW 6Y 4F  
oDeAttackCluster 10622:50509		VVS 4F	 		LW 6Y 4F  
oDeAttackCluster 10622:50509		VVS 0F 			LW 6Y 
oDeAttackBridge 10622:50509			VVS 0F	 		LW 4Y   
oDeAttackBridge 10622:50509			VVS 0F	 		LW 4Y    
oDeAttackBridge 10622:50509			VVS 4F	 		LW 4Y 8F  
oDeAttackBridge 10622:50509			VVS 0F	 		LW 4Y    
oDeAttackSoft 10622:50509			VVS 0F	 		LW 4Y 
oDeAttackSoft 10622:50509			VVS 2F	 		LW 4Y 8F
oDeAttackSoft 10622:50509			VVS 0F	 		LW 4Y 
oDeAttackSoft 10622:50509			VVS 0F	 		LW 4Y 4F
oDeAttackSoft 10622:50509			VVS 4F 			LW 4Y 8F
oDeBombAF 10622:50509				VVS 2F 2F 		LW 9B 4Y
oDeBombAF 10622:50509				VVS 2F 2F 		LW 9B 4Y
oDeBombAF 10622:50509				VVS 2F 2F 		LW 8fB 4Y  
oDeBombAF 10622:50509				VVS 2F 2F 		LW 9dB 4Y  
oDeBombAF 10622:50509				VVS 2F 2F 		LW 9dB 4Y  
oDeBombAF 10622:50509				VVS 6F  		LW 9B 8Y  
oDeBombAF 10622:50509				VVS 4F 			LW 9B 4Y
oDeBombShips 10622:50509			VVS 2F 2F 		LW 9B 4Y
oDeBombShips 10622:50509			VVS 2F 2F 		LW 9dB 4Y
oDeBombShips 10622:50509			VVS 2F 2F 		LW 8fB 4Y  
oDeBombShips 10622:50509			VVS 2F 2F 		LW 9dB 4Y  
oDeBombShips 10622:50509			VVS 2F 2F 		LW 9B 4Y  
oDeBombShips 10622:50509			VVS 6F 2F 		LW 9dB 8Y  
oDeBombShips 10622:50509			VVS 4F 			LW 9B 4Y
oDeBombArmor 10622:50509			VVS 4F 4F 		LW 4fB 8Y
oDeBombArmor 10622:50509			VVS 2F 2F 		LW 9dB 4Y
oDeBombArmor 10622:50509			VVS 6F  		LW 9dB 8Y
oDeBombArmor 10622:50509			VVS 2F 2F 		LW 9dB 4Y  
oDeBombArmor 10622:50509			VVS 2F 2F 		LW 9B 4Y 
oDeBombArmor 10622:50509			VVS 8F 			LW 9dB 8Y
oDeBombBridge 10622:50509			VVS 2F 2F 		LW 9dB 4Y
oDeBombBridge 10622:50509			VVS 4F 2F 		LW 4fB 6Y
oDeBombBridge 10622:50509			VVS 2F 2F 		LW 9dB 4Y  
oDeBombBridge 10622:50509			VVS 2F 2F 4F	LW 4fB 8Y  
oDeBombBridge 10622:50509			VVS 2F 2F 4F	LW 3B 8Y   
oDeBombBridge 10622:50509			VVS 4F 4F 4F	LW 6B 6Y  
oDeBombBridge 10622:50509			VVS 2F 			LW 9B 4Y
oDeBombCluster 10622:50509			VVS 2F 2F 		LW 9dB 4Y
