// 44-45 North West Europe
[Operations]
oRuReconAF	10622:50509 				VVS 2Y			LW 0F
oRuReconAF	10622:50509 				VVS 2Y			LW 2F
oRuReconAF	10622:50509 				VVS 4Y 4F		LW 2F 2F 2F
oRuReconAF	10622:50509 				VVS 2Y 2F		LW 0F
oRuBDAAF	10622:50509 				VVS 2Y			LW 0F
oRuBDAAF	10622:50509 				VVS 2Y			LW 2F
oRuBDAAF	10622:50509 				VVS 4Y 4F		LW 2F 2F 2F
oRuBDAAF	10622:50509 				VVS 2Y 2F		LW 0F
oDeReconAF	10622:50509 				VVS 2F			LW 2Y
oDeReconAF	10622:50509 				VVS 0F			LW 2Y
oDeReconAF	10622:50509 				VVS 0F			LW 2Y 2F
oDeReconAF	10622:50509 				VVS 2F 2F 2F		LW 2Y 2F 
oDeBDAAF	10622:50509 				VVS 2F			LW 2Y
oDeBDAAF	10622:50509 				VVS 0F			LW 2Y
oDeBDAAF	10622:50509 				VVS 0F			LW 2Y 2F
oDeBDAAF	10622:50509 				VVS 2F 2F 2F		LW 2Y 2F 
oRuRescue	10622:50509					VVS 2Y			LW 0F
oRuRescue	10622:50509					VVS 2Y			LW 2F
oRuRescue	10622:50509					VVS 2Y 2F		LW 2F
oRuRescue	10622:50509					VVS 2Y 2F		LW 2F
oRuVerify	10622:50509 				VVS 2Y			LW 0F
oRuVerify	10622:50509 				VVS 2Y			LW 2F
oRuVerify	10622:50509 				VVS 2Y 2F		LW 2F
oRuVerify	10622:50509 				VVS 2Y 2F		LW 4F
oDeRescue	10622:50509 				VVS 0F			LW 2Y
oDeRescue	10622:50509 				VVS 2F			LW 2Y
oDeRescue	10622:50509 				VVS 2F			LW 2Y 2F
oDeRescue	10622:50509 				VVS 2F			LW 2Y
oDeVerify	10622:50509 				VVS 2F			LW 2Y
oDeVerify	10622:50509 				VVS 0F			LW 2Y
oDeVerify	10622:50509 				VVS 2F			LW 2Y 2F
oDeVerify	10622:50509 				VVS 2F			LW 2Y
oRuRecon	10622:50509 				VVS 2Y			LW 0F
oRuRecon	10622:50509 				VVS 2Y			LW 2F
oRuRecon	10622:50509 				VVS 4Y 4F		LW 2F 2F 2F
oRuRecon	10622:50509 				VVS 2Y 2F		LW 0F
oDeRecon	10622:50509 				VVS 2F			LW 2Y
oDeRecon	10622:50509 				VVS 0F			LW 2Y
oDeRecon	10622:50509 				VVS 0F			LW 2Y 2F
oDeRecon	10622:50509 				VVS 2F 2F 2F		LW 2Y 2F 
oDeScramble	10622:50509				VVS 8Bx			LW 8Y  
oDeScramble 10622:50509					VVS 8Bx			LW 8Y  
oDeScramble 10622:50509					VVS 3Bx			LW 6Y  
oDeScramble 10622:50509					VVS 4Bx			LW 4Y  
oRuScramble 10622:50509					VVS 8Y			LW 9Bx  
oRuScramble 10622:50509					VVS 8Y			LW 9Bx  
oRuScramble 10622:50509					VVS 4Y			LW 4Bx  
oRuScramble 10622:50509					VVS 6Y			LW 6Bx  
oDeAttackAF 10622:50509					VVS 2F			LW 6Y 2F
oDeAttackAF 10622:50509					VVS 2F			LW 6Y 8F
oDeAttackAF 10622:50509					VVS 4F			LW 8Y 8F
oDeAttackAF 10622:50509					VVS 2F 2F		LW 6Y 4F
oDeAttackAF 10622:50509					VVS 6F			LW 6Y 8F
oDeAttackArmor 10622:50509				VVS 2F 			LW 6Y 4F
oDeAttackArmor 10622:50509				VVS 0F 			LW 6Y 4F
oDeAttackArmor 10622:50509				VVS 2F			LW 4Y 4F  
oDeAttackArmor 10622:50509				VVS 0F	 		LW 6Y 4F  
oDeAttackArmor 10622:50509				VVS 2F  		LW 8Y 4F  
oDeAttackArmor 10622:50509				VVS 4F 			LW 6Y 6F  
oDeAttackArmor 10622:50509				VVS 0F			LW 6Y 2F
oDeAttackCluster 10622:50509			VVS 2F	 		LW 6Y 4F
oDeAttackCluster 10622:50509			VVS 0F		 	LW 6Y
oDeAttackCluster 10622:50509			VVS 2F 			LW 4Y 4F  
oDeAttackCluster 10622:50509			VVS 0F		 	LW 6Y 4F  
oDeAttackCluster 10622:50509			VVS 2F 			LW 8Y 4F  
oDeAttackCluster 10622:50509			VVS 4F	 		LW 6Y 6F  
oDeAttackCluster 10622:50509			VVS 0F 			LW 6Y 2F
oDeAttackBridge 10622:50509				VVS 4F 			LW 6Y 8F  
oDeAttackBridge 10622:50509				VVS 2F	 		LW 4Y 4F   
oDeAttackBridge 10622:50509				VVS 0F 			LW 4Y 8F  
oDeAttackBridge 10622:50509				VVS 0F 			LW 6Y 6F   
oDeAttackSoft 10622:50509				VVS 0F	 		LW 4Y 2F
oDeAttackSoft 10622:50509				VVS 4F 			LW 4Y 8F
oDeAttackSoft 10622:50509				VVS 0F 			LW 4Y 8F
oDeAttackSoft 10622:50509				VVS 2F 			LW 4Y 4F
oDeAttackSoft 10622:50509				VVS 0F 			LW 4Y 8F
oDeBombAF 10622:50509					VVS 4F 2F 		LW 4fB 4Y
oDeBombAF 10622:50509					VVS 4F 2F 		LW 4fB 6Y
oDeBombAF 10622:50509					VVS 2F 2F 		LW 4fB 4Y  
