<DGen:>		<*>
	--------------------------------------------------------------------------------------------
		 Translation guidelines. 

	Every line not starting with symbol < will be ignored. You may use it for comments.
 	Messages consist of three parts: message ID, optional message selector and text.

	For every ID code there may be up to 10 variants of texts - one will be picked up randomly.
	You don't need to translate every line exactly, you just need to describe the same situation.

	Message selector in () brackets defines which campaign will use them.
	*JA means all Japanese
	aJA Japanese Army only
	nJA Japanese Navy only

	other codes are 
	*U*, for all Allies
	*UK, for RAF and RN
	aUK, for RAF, RNZAF, RAAF 
	aUD, for Dutch
	nUK, for RN
	*US, for USAAF,USMC,USN
	aUS, for USAAF
	nUS, for US Navy
	mUS, for US Marine Corps

	Some messages can be made map-specific. For instance:

//<AttackAF>(*U*)

	is a generic AF attack, while:

//<AttackAF:Tarawa>(*U*) can contain some references to invasion of Tarawa. If there is map-specific varioant, 
   only this version will be used.


	Symbols \n ans %s must be left intact. \n means new line, %s means that some substring will be 
	placed there - usually town name. 

	Message texts cannot contain new lines - make them as long as you need (but not longer than 256 chars).
	--------------------------------------------------------------------------------------------

//<Retrn>		<Egy kis kiképzés után a százada ismét akcióban...\n>

<Retrn>		< >

--------------------------------------------------------------------------------------------
	The following messages are for pilot's logbook
--------------------------------------------------------------------------------------------



<logCAS>				<A légi támogatás megszüntetése>
<logAttack>				<Támadás>
<logNavalAttack>		<Tengerészeti támadás>
<logCAP>				<A légi õrjárat támadása>
<logFleetPatrol>		<Flottaõrjárat>
<logParaEscort>			<Kíséret>
<logIntercept>			<Elfogás>
<logReconEscort>		<Felderítõ kíséret>
<logRecon>				<Felderítés>
<logFighterSweep>		<Vadászgépes átfésülés>
<logScramble>			<Gyors felszállás>
<logRescue>				<Mentés>
<logNone>				< >
<logStrikeEscort>		<Támadási kíséret>
<logTransfer>			<Áthelyezés>

<logBailed> 			<Kiugrás>	
<logKill> 				<A szükséges %k lelõve>		
<logCrashed> 			<Ütközött>	
<logLandedAF> 			<Leszállt>
<logLanded> 			<Leszállt>


<logAttackAF>			<Megtámadott ellenséges légtér>
<logTank>               <Megsemmisített ellenséges tank>
<logShip>				<Megsemmisített ellenséges hajó>
<logArtillery>			<Megtámadott ellenséges légvédelmi poszt>
<logColumn>				<Megtámadott ellenséges szállítókonvoj>
<logTrain>				<Megtámadott ellenséges vonat> 
<logBridge>				<Lerombolt híd>
<logTroops>				<Megtámadott ellenséges csapat>

	--------------------------------------------------------------------------------------------
	The following messages are for pilot's personal files
	--------------------------------------------------------------------------------------------

<rstJoined> 		<csatlakozott a századhoz>
<rstPromoted> 		<%-vá léptették elõ>
<rstAwarded> 		<%-val díjazták>

<rstTransfered>(*U*) 	<amerikai íróasztali munkára helyezték át>
<rstTransfered>(*JA) 	<a hazai szigetekre helyezték át>

<rstHospitalize> 		<megsebesült és kórházba szállították>
<rstReunited> 		<visszatért a századhoz>


<recJoined> 		<{DATE} {lastname} {RANK} csatlakozott a századhoz>
<recPromoted> 		<{DATE} {lastname} {OLDRANK}-t  {RANK}-á léptették elõ>
<recAwarded> 		<{DATE} {lastname} {RANK}-t {érem}-mel jutalmazták>

<recTransfered>(*U*) 	<{DATE} {lastname} {RANK}-t amerikai íróasztali munkára helyezték át >
<recTransfered>(*JA) 	<{DATE} {lastname} {RANK}-t a hazai szigetekre helyezték át>>

<recHospitalize> 		<{DATE} {lastname} {RANK} megsebesült és kórházba szállították>
<recReunited> 		<{DATE} {lastname} {RANK} visszatért a századhoz>


<rstKilled> 				<ütközetben elesett>
<rstMissed> 				<ütközetben eltûnt>

	--------------------------------------------------------------------------------------------
	Please do not translate words Name and Description - they are used by IL2
	--------------------------------------------------------------------------------------------
<nSHR> 		<DGen küldetés\n>
<nHDR> 		<Name küldetés %k\n>
<hShortRuB>	<Bombázó. %k, '4%d>
<hShortRuF>	<Vadászgép. %k, '4%d>
<hShortJaB>	<Bombázó. %k, '4%d>
<hShortJaF>	<Vadászgép. %k, '4%d>

<hLongRuB>	<Description amerikai bombázópilóta dinamikus hadjárata. %s, 194%d>
<hLongRuF>	<Description amerikai vadászpilóta dinamikus hadjárata. %s, 194%d>
<hLongJaB>	<Description japán bombázópilóta dinamikus hadjárata. %s, 194%d>
<hLongJaF>	<Description japán vadászpilóta dinamikus hadjárata %s, 194%d>

	--------------------------------------------------------------------------------------------
	Plane names to appear in briefings
	--------------------------------------------------------------------------------------------

<JU_52_3MG4E>	<Ju-52 3MG4E>
<LI_2>	<Li-2>
<P_39D1>		<P-39D>
<P_39D2>		<P-39D>
<P_39N>		<P-39N>
<P_39Q1>	<P-39Q1>
<P_39Q10>	<P-39Q10>
<P_400>		<P-400>
<P_40E>		<P-40>
<P_40EM105>	<P-40>	
<P_40M>>	<P-40M>

<P_40SUKAISVOLOCHHAWKA2> <P-40B>
<P_40SUKAISVOLOCHB>	<P-40B>
<P_40SUKAISVOLOCHC>	<P-40C>
<P_40SUKAISVOLOCH2A> <Tomahawk>
<P_40SUKAISVOLOCH2B> <Tomahawk II>

<HurricaneMkIa>	<Hurricane>
<HurricaneMkIIb>	<Hurricane>
<HurricaneMkIIc>	<Hurricane>
<HurricaneMkIIbMod>	<Hurricane>
<BLENHEIM1>	<Blenheim>
<BLENHEIM4>	<Blenheim>

<F2A_B239> <Brewster>
<MS406> <M.S.406>
<MS410> <M.S.410>
<P_47D10> <P-47>
<P_47D22> <P-47>
<P_47D22> <P-47>
<P_47D10> <P-47>
<P_47D22> <P-47>
<P_47D27> <P-47>
<P_51D20NA>	<P-51>
<P_51D5NT>	<P-51>
<P_51CM>	<P-51>
<TEMPEST5>	<Tempest V>
<B_17E> <B-17>
<B_17D> <B-17>
<B_17G> <B-17>
<B_29> <B-29>

<P_38J>	<P-38>
<P_38L>	<P-38>
<P_38LLate>	<P-38>

<A6M2>(*U*)	<Zeke>
<A6M3>(*U*)	<Hamp>
<A6M2_21>(*U*)	<Zeke>
<A6M2N>(*U*)	<Rufe>
<A6M5A>(*U*)	<Zeke>
<A6M5B>(*U*)	<Zeke>
<A6M5C>(*U*)	<Zeke>
<A6M5>(*U*)	<Zeke>
<A6M5A>(*U*)	<Zeke>
<A6M7_62>(*U*) <Zeke>
<A6M7_63>(*U*) <Zeke>

<A6M2>(*JA)	<A6M2>
<A6M3>(*JA)	<A6M3>
<A6M2_21>(*JA)	<A6M2>
<A6M2N>(*JA)	<A6M2-N>
<A6M5A>(*JA)	<A6M5a>
<A6M5B>(*JA)	<A6M5b>
<A6M5C>(*JA)	<A6M5c>
<A6M5>(*JA)	<A6M5>
<A6M5A>(*JA)	<A6M5a>
<A6M7_62>(*JA) <A6M7>
<A6M7_63>(*JA) <A6M7>

<KI_84_IA>(*JA)	<Hayate>
<KI_84_IB>(*JA)	<Hayate>
<KI_84_IC>(*JA)	<Hayate>
<KI_84_IA>(*U*)	<Frank>
<KI_84_IB>(*U*)	<Frank>
<KI_84_IC>(*U*)	<Frank>

<KI_43_IA>(*JA)	<Hayabusa>
<KI_43_IB>(*JA)	<Hayabusa>
<KI_43_IC>(*JA)	<Hayabusa>
<KI_43_II>(*JA)	<Hayabusa II>
<KI_43_IIKAI>(*JA)	<Hayabusa II>

<KI_43_IA>(*U*)	<Oscar>
<KI_43_IB>(*U*)	<Oscar>
<KI_43_IC>(*U*)	<Oscar>
<KI_43_II>(*U*)	<Oscar Mk. 2>
<KI_43_IIKAI>(*U*)	<Oscar Mk. 2>

<KI_46_OTSU>(*JA)	 <Shitei Otsu>
<KI_46_OTSUHEI>(*JA) <Shitei Otsu Hei>
<KI_46_RECCE>(*JA)	 <Shitei Recce>
<KI_61_IKO>(*JA)	 <Hien>
<KI_61_IHEI>(*JA)	 <Hien>
<KI_61_IOTSU>(*JA)	 <Hien>

<KI_46_OTSU>(*U*)		<Dinah>
<KI_46_OTSUHEI>(*U*)	<Dinah>
<KI_46_RECCE>(*U*)		<Dinah>
<KI_61_IKO>(*U*)		<Tony>
<KI_61_IHEI>(*U*)		<Tony>
<KI_61_IOTSU>(*U*)		<Tony>

<KI_100_IKO> (*JA) <Ki-100>
<KI_100_IKO> (*U*) <Tony>

<D3A1>(*JA)	<Kanbaku>
<D3A1>(*U*)	<Val>

<B5N2>(*JA)	<Kankoh>
<B5N2>(*U*)	<Kate>

<G4M1_11>(*JA)	<Rikko>
<G4M1_11>(*U*)	<Betty>

<F6F3>(*U*)	<F6F-3>
<F6F5>(*U*)	<F6F-5>
<F4U1A>(*U*)	<F4U>
<F4U1C>(*U*)	<F4U>
<F4U1D>(*U*)	<F4U>
<TBF1C>(*US)		<TBF-1>
<TBF1C>(*UK)		<Tarpon>

<TBF1>(*U*) <TBF-1>
<TBM3AVENGER3>(*U*) <Avenger>
<TBM3>(*U*) <TBM-3>

<F4F3>(*U*)	<F4F-3>
<F4F4>(*U*)	<F4F-4>
<F4F_FM2>(*U*)	<FM-2>

<F4F3>(*JA)	<Wildcat>
<F4F4>(*JA)	<Wildcat>
<F4F_FM2>(*JA)	<Wildcat>

<SEAFIRE3> <Seafire>

<F6F3>(*JA)	<Hellcat>
<F6F5>(*JA)	<Hellcat>
<F4U1A>(*JA)	<Corsair>
<F4U1C>(*JA)	<Corsair>
<F4U1D>(*JA)	<Corsair>
<F4U1A>(*JA)	<Corsair>
<F4U1C>(*JA)	<Corsair>
<F4U1D>(*JA)	<Corsair>
<TBF1C>(*JA) <Avenger>
<TBF1>(*JA) <Avenger>
<TBM3AVENGER3>(*JA) <Avenger>
<TBM3>(*JA) <Avenger>

<B_25J1>(*U*)	<B-25>
<B_25J1>(*JA)	<B-25>
<B_25C25>(*U*)	<B-25>
<B_25C25>(*JA)	<B-25>
<A_20G>(*U*)	<A-20>
<A_20G>(*JA)	<A-20>


<F4UCORSAIR1>(*U*) <Corsair>
<F4UCORSAIR2>(*U*) <Corsair>
<F4UCORSAIR4>(*U*) <Corsair>
<BEAU21>(*U*) <Beaufighter>
<SBD3>(*U*)	<SBD-3>
<B_17E>(*U*) <B-17>
<B_24J100>(*U*)	<B-24>

<F4UCORSAIR1>(*JA) <Corsair>
<F4UCORSAIR2>(*JA) <Corsair>
<F4UCORSAIR4>(*JA) <Corsair>
<BEAU21>(*JA) <Beaufighter>
<SBD3>(*JA)	<Dauntless>
<B_17E>(*JA) <B-17>
<B_24J100>(*JA) <Liberator>


	--------------------------------------------------------------------------------------------
	Geographic names - if spelling is different from English
	<Moscow>	<Moszkva>
	<Crimea>		<Krim>
	--------------------------------------------------------------------------------------------

<dbrDEAD>	<Megölték.>
<dbrCAPTURED>	<\nElfogták.>
<dbrCAPTURED>(*U*)	<\nElfogták és hadifogolytáborba küldték.>
<dbrWOUNDED>	<\nMegsebesült és kórházba szállították.>

<SQ> <A százada C/O-ja %k\n>
<CO> <A százada C/O-jává nevezték ki!\n>

<dbrEnemyLost> <\nA század a következõ veszteségeket okozta az ellenségnek:\n>

<CUR_KILLS>		<E küldetés során a következõket semmisítette meg:>
<CUR_KILLS>		<A legutóbbi küldetés során a következõket ölte meg:>
<CUR_KILLS>		<A legutóbbi bevetés során a következõ célpontok semmisültek meg:>

<TOT_KILLS>		<A karrierje során a következõket semmisítette meg:>
<TOT_KILLS>		<Az ön által megsemmisített célpontok teljes listája:>
<TOT_KILLS>		<Eddig a következõket semmisítette meg:>

<dbrNplanes>	<Repülõgépek: %d\n>
<dbrNplanesG>	<Földön tartózkodó repülõgépek: %d\n>
<dbrNtanks>		<Páncéloserõk: %d\n>
<dbrNguns>		<Gépágyuk: %d\n>
<dbrNcars>		<Jármûvek: %d\n>
<dbrNwagons>	<Vasúti vagonok: %d\n>
<dbrNbridges>	<Hidak: %d\n>
<dbrNships>		<Hajók: %d\n>

<logRecon> 				<Légi felderítés>
<logNavalRecon> 		<Tengerészeti felderítés>
<logReconB> 			<Légi felderítés>

<YouAreBack> <\nVisszatért az aktív szolgálatba\n>


////////////////////////////////////////////////////////////////////////////
	MACROS:

	{FIRSTNAME}		your first name
	{LASTNAME}		your last name
	{RANK}			your rank (abbreviated, Lt.Col)
	{PLANE}			your plane
	{SECTOR}	    destination sector (100,330)
	(#)				number of planes in your group (4)
	(#a)			number of planes in your group (four)
	(#A)			number of planes in your group (Four)
	{LDR_NAME}		group leader's last name
	{LDR_RANK}		group leader's rank
	{LDR_FULLRANK}  group leader's rank

	{ESCORTED} escorted plane type.

