<DGen:>		<*>
	--------------------------------------------------------------------------------------------
		 Translation guidelines. 

	Every line not starting with symbol < will be ignored. You may use it for comments.
 	Messages consist of three parts: message ID, optional message selector and text.

	For every ID code there may be up to 10 variants of texts - one will be picked up randomly.
	You don't need to translate every line exactly, you just need to describe the same situation.

	Message selector in () brackets defines which campaign will use them.
	*JA means all Japanese
	aJA Japanese Army only
	nJA Japanese Navy only

	other codes are 
	*U*, for all Allies
	*UK, for RAF and RN
	aUK, for RAF, RNZAF, RAAF 
	aUD, for Dutch
	nUK, for RN
	*US, for USAAF,USMC,USN
	aUS, for USAAF
	nUS, for US Navy
	mUS, for US Marine Corps

	Some messages can be made map-specific. For instance:

//<AttackAF>(*U*)

	is a generic AF attack, while:

//<AttackAF:Tarawa>(*U*) can contain some references to invasion of Tarawa. If there is map-specific varioant, 
   only this version will be used.


	Symbols \n ans %s must be left intact. \n means new line, %s means that some substring will be 
	placed there - usually town name. 

	Message texts cannot contain new lines - make them as long as you need (but not longer than 256 chars).
	--------------------------------------------------------------------------------------------

//<Retrn>		<After some much needed R & R your squadron is back in action...\n>

<Retrn>		< >

--------------------------------------------------------------------------------------------
	The following messages are for pilot's logbook
--------------------------------------------------------------------------------------------



<logCAS>				<Bezpoœrednie wsparcie z powietrza>
<logAttack>				<Atak>
<logNavalAttack>		<Atak morski>
<logCAP>				<Patrol bojowy>
<logFleetPatrol>		<Patrol floty>
<logParaEscort>			<Os³ona>
<logIntercept>			<Przechwytywanie>
<logReconEscort>		<Os³ona rozpoznania>
<logRecon>				<Rozpoznanie>
<logFighterSweep>		<Wymiatanie myœliwskie>
<logScramble>			<Start>
<logRescue>				<Ratunek>
<logNone>				< >
<logStrikeEscort>		<Os³ona ataku>
<logTransfer>			<Przeniesienie>

<logBailed> 			<Wyskoczy³ ze spadochronem>	
<logKill> 				<%s - uznano za zestrzelonego>		
<logCrashed> 			<Rozbity>	
<logLandedAF> 			<Wyl¹dowa³>
<logLanded> 			<Wyl¹dowa³>


<logAttackAF>			<Atak na lotnisko nieprzyjacielskie>
<logTank>               <Zniszczenie nieprzyjacielskiego zbiornika>
<logShip>				<Zniszczenie statku nieprzyjacielskiego>
<logArtillery>			<Atak na pozycje nieprzyjacielskiej artylerii>
<logColumn>				<Atak na nieprzyjacielsk¹ kolumnê transportow¹>
<logTrain>				<Atak na nieprzyjacielski poci¹g> 
<logBridge>				<Zniszczenie mostu>
<logTroops>				<Atak na wojska nieprzyjacielskie>

	--------------------------------------------------------------------------------------------
	The following messages are for pilot's personal files
	--------------------------------------------------------------------------------------------

<rstJoined> 		<przydzielony do eskadry>
<rstPromoted> 		<awansowany do stopnia: %s>
<rstAwarded> 		<otrzymuje odznaczenie: %s>

<rstTransfered>(*U*) 	<przeniesiony do pracy biurowej w Stanach>
<rstTransfered>(*JA) 	<przeniesiony na Wyspy Japoñskie>

<rstHospitalize> 		<ranny i skierowany do szpitala>
<rstReunited> 		<powraca do eskadry>


<recJoined> 		<{DATE}: {rank} {lastname} przybywa do eskadry>
<recPromoted> 		<{DATE}: {oldrank} {lastname} otrzymuje awans do stopnia: {rank}>
<recAwarded> 		<{DATE}: {rank} {lastname} otrzymuje odznaczenie: {medal}>

<recTransfered>(*U*) 	<{DATE}: {rank} {lastname} zostaje przeniesiony do pracy biurowej w Stanach>
<recTransfered>(*JA) 	<{DATE}: {rank} {lastname} zostaje przeniesiony na Wyspy Japoñskie>

<recHospitalize> 		<{DATE}: {rank} {lastname} odnosi ranê i zostaje skierowany do szpitala>
<recReunited> 		<{DATE}: {rank} {lastname} wraca do eskadry>


<rstKilled> 				<zostaje uznany za zabitego w akcji>
<rstMissed> 				<zostaje uznany za zaginionego w akcji>

	--------------------------------------------------------------------------------------------
	Please do not translate words Name and Description - they are used by IL2
	--------------------------------------------------------------------------------------------
<nSHR> 		<DGen misja\n>
<nHDR> 		<Name Misja %s\n>
<hShortRuB>	<Bombowiec. %s, '4%d>
<hShortRuF>	<Myœliwiec. %s, '4%d>
<hShortJaB>	<Bombowiec. %s, '4%d>
<hShortJaF>	<Myœliwiec. %s, '4%d>

<hLongRuB>	<Description kampania dynamiczna amerykañskiego pilota bombowca. %s, 194%d>
<hLongRuF>	<Description kampania dynamiczna amerykañskiego pilota myœliwca. %s, 194%d>
<hLongJaB>	<Description kampania dynamiczna japoñskiego pilota bombowca. %s, 194%d>
<hLongJaF>	<Description kampania dynamiczna japoñskiego pilota myœliwca. %s, 194%d>

	--------------------------------------------------------------------------------------------
	Plane names to appear in briefings
	--------------------------------------------------------------------------------------------

<JU_52_3MG4E>	<Ju-52 3MG4E>
<LI_2>	<Li-2>
<P_39D1>		<P-39D>
<P_39D2>		<P-39D>
<P_39N>		<P-39N>
<P_39Q1>	<P-39Q1>
<P_39Q10>	<P-39Q10>
<P_400>		<P-400>
<P_40E>		<P-40>
<P_40EM105>	<P-40>	
<P_40M>>	<P-40M>

<P_40SUKAISVOLOCHHAWKA2> <P-40B>
<P_40SUKAISVOLOCHB>	<P-40B>
<P_40SUKAISVOLOCHC>	<P-40C>
<P_40SUKAISVOLOCH2A> <Tomahawk>
<P_40SUKAISVOLOCH2B> <Tomahawk II>

<HurricaneMkIa>	<Hurricane>
<HurricaneMkIIb>	<Hurricane>
<HurricaneMkIIc>	<Hurricane>
<HurricaneMkIIbMod>	<Hurricane>
<BLENHEIM1>	<Blenheim>
<BLENHEIM4>	<Blenheim>

<F2A_B239> <Brewster>
<F2A_B339> <Brewster>
<MS406> <M.S.406>
<MS410> <M.S.410>
<P_47D10> <P-47>
<P_47D22> <P-47>
<P_47D22> <P-47>
<P_47D10> <P-47>
<P_47D22> <P-47>
<P_47D27> <P-47>
<P_51D20NA>	<P-51>
<P_51D5NT>	<P-51>
<P_51CM>	<P-51>
<TEMPEST5>	<Tempest V>
<B_17E> <B-17>
<B_17D> <B-17>
<B_17G> <B-17>
<B_29> <B-29>

<P_38J>	<P-38>
<P_38L>	<P-38>
<P_38LLate>	<P-38>

<A6M2>(*U*)	<Zeke>
<A6M3>(*U*)	<Hamp>
<A6M2_21>(*U*)	<Zeke>
<A6M2N>(*U*)	<Rufe>
<A6M5A>(*U*)	<Zeke>
<A6M5B>(*U*)	<Zeke>
<A6M5C>(*U*)	<Zeke>
<A6M5>(*U*)	<Zeke>
<A6M5A>(*U*)	<Zeke>
<A6M7_62>(*U*) <Zeke>
<A6M7_63>(*U*) <Zeke>

<A6M2>(*JA)	<A6M2>
<A6M3>(*JA)	<A6M3>
<A6M2_21>(*JA)	<A6M2>
<A6M2N>(*JA)	<A6M2-N>
<A6M5A>(*JA)	<A6M5a>
<A6M5B>(*JA)	<A6M5b>
<A6M5C>(*JA)	<A6M5c>
<A6M5>(*JA)	<A6M5>
<A6M5A>(*JA)	<A6M5a>
<A6M7_62>(*JA) <A6M7>
<A6M7_63>(*JA) <A6M7>

<KI_84_IA>(*JA)	<Hayate>
<KI_84_IB>(*JA)	<Hayate>
<KI_84_IC>(*JA)	<Hayate>
<KI_84_IA>(*U*)	<Frank>
<KI_84_IB>(*U*)	<Frank>
<KI_84_IC>(*U*)	<Frank>

<KI_43_IA>(*JA)	<Hayabusa>
<KI_43_IB>(*JA)	<Hayabusa>
<KI_43_IC>(*JA)	<Hayabusa>
<KI_43_II>(*JA)	<Hayabusa II>
<KI_43_IIKAI>(*JA)	<Hayabusa II>

<KI_43_IA>(*U*)	<Oscar>
<KI_43_IB>(*U*)	<Oscar>
<KI_43_IC>(*U*)	<Oscar>
<KI_43_II>(*U*)	<Oscar Mk. 2>
<KI_43_IIKAI>(*U*)	<Oscar Mk. 2>

<KI_46_OTSU>(*JA)	 <Shitei Otsu>
<KI_46_OTSUHEI>(*JA) <Shitei Otsu Hei>
<KI_46_RECCE>(*JA)	 <Shitei Recce>
<KI_61_IKO>(*JA)	 <Hien>
<KI_61_IHEI>(*JA)	 <Hien>
<KI_61_IOTSU>(*JA)	 <Hien>

<KI_46_OTSU>(*U*)		<Dinah>
<KI_46_OTSUHEI>(*U*)	<Dinah>
<KI_46_RECCE>(*U*)		<Dinah>
<KI_61_IKO>(*U*)		<Tony>
<KI_61_IHEI>(*U*)		<Tony>
<KI_61_IOTSU>(*U*)		<Tony>

<KI_100_IKO> (*JA) <Ki-100>
<KI_100_IKO> (*U*) <Tony>

<D3A1>(*JA)	<Kanbaku>
<D3A1>(*U*)	<Val>

<B5N2>(*JA)	<Kankoh>
<B5N2>(*U*)	<Kate>

<G4M1_11>(*JA)	<Rikko>
<G4M1_11>(*U*)	<Betty>

<F6F3>(*U*)	<F6F-3>
<F6F5>(*U*)	<F6F-5>
<F4U1A>(*U*)	<F4U>
<F4U1C>(*U*)	<F4U>
<F4U1D>(*U*)	<F4U>
<TBF1C>(*US)		<TBF-1>
<TBF1C>(*UK)		<Tarpon>

<TBF1>(*U*) <TBF-1>
<TBM3AVENGER3>(*U*) <Avenger>
<TBM3>(*U*) <TBM-3>

<F4F3>(*U*)	<F4F-3>
<F4F4>(*U*)	<F4F-4>
<F4F_FM2>(*U*)	<FM-2>

<F4F3>(*JA)	<Wildcat>
<F4F4>(*JA)	<Wildcat>
<F4F_FM2>(*JA)	<Wildcat>

<SEAFIRE3> <Seafire>

<F6F3>(*JA)	<Hellcat>
<F6F5>(*JA)	<Hellcat>
<F4U1A>(*JA)	<Corsair>
<F4U1C>(*JA)	<Corsair>
<F4U1D>(*JA)	<Corsair>
<F4U1A>(*JA)	<Corsair>
<F4U1C>(*JA)	<Corsair>
<F4U1D>(*JA)	<Corsair>
<TBF1C>(*JA) <Avenger>
<TBF1>(*JA) <Avenger>
<TBM3AVENGER3>(*JA) <Avenger>
<TBM3>(*JA) <Avenger>

<B_25J1>(*U*)	<B-25>
<B_25J1>(*JA)	<B-25>
<B_25C25>(*U*)	<B-25>
<B_25C25>(*JA)	<B-25>
<A_20G>(*U*)	<A-20>
<A_20G>(*JA)	<A-20>


<F4UCORSAIR1>(*U*) <Corsair>
<F4UCORSAIR2>(*U*) <Corsair>
<F4UCORSAIR4>(*U*) <Corsair>
<BEAU21>(*U*) <Beaufighter>
<SBD3>(*U*)	<SBD-3>
<B_17E>(*U*) <B-17>
<B_24J100>(*U*)	<B-24>

<F4UCORSAIR1>(*JA) <Corsair>
<F4UCORSAIR2>(*JA) <Corsair>
<F4UCORSAIR4>(*JA) <Corsair>
<BEAU21>(*JA) <Beaufighter>
<SBD3>(*JA)	<Dauntless>
<B_17E>(*JA) <B-17>
<B_24J100>(*JA) <Liberator>


	--------------------------------------------------------------------------------------------
	Geographic names - if spelling is different from English
	<Moscow>	<Moskwa>
	<Crimea>		<Krym>
	--------------------------------------------------------------------------------------------

<dbrDEAD>	<Zgin¹³eœ.>
<dbrCAPTURED>	<\nTrafi³eœ do niewoli.>
<dbrCAPTURED>(*U*)	<\nZosta³eœ schwytany i wys³any do obozu jenieckiego.>
<dbrWOUNDED>	<\nOdnios³eœ rany i zosta³eœ skierowany do szpitala.>

<SQ> <Dowódc¹ twojej eskadry jest %s\n>
<CO> <Zostajesz wyznaczony na dowódcê swojej eskadry!\n>

<dbrEnemyLost> <\nDziêki dzia³aniom eskadry wróg odniós³ nastêpuj¹ce straty:\n>

<CUR_KILLS>		<W trakcie misji zniszczy³eœ:>
<CUR_KILLS>		<Zg³osi³eœ zniszczenie w trakcie misji nastêpuj¹cych celów:>
<CUR_KILLS>		<W ostatnim locie zniszczono nastêpuj¹ce cele:>

<TOT_KILLS>		<W trakcie kariery zniszczy³eœ:>
<TOT_KILLS>		<Pe³na lista zniszczonych przez ciebie celów:>
<TOT_KILLS>		<Jak dot¹d zniszczy³eœ:>

<dbrNplanes>	<Samoloty: %d\n>
<dbrNplanesG>	<Samoloty na ziemi: %d\n>
<dbrNtanks>		<Pojazdy pancerne: %d\n>
<dbrNguns>		<Dzia³a: %d\n>
<dbrNcars>		<Pojazdy: %d\n>
<dbrNwagons>	<Wagony kolejowe: %d\n>
<dbrNbridges>	<Mosty: %d\n>
<dbrNships>		<Statki: %d\n>

<logRecon> 				<Rozpoznanie lotnicze>
<logNavalRecon> 		<Rozpoznanie morskie>
<logReconB> 			<Rozpoznanie lotnicze>

<YouAreBack> <\nPowracasz do czynnej s³u¿by\n>


////////////////////////////////////////////////////////////////////////////
	MACROS:

