* German Fighter Pilot in Western Europe (DCG)
Dynamic campaign for German fighter pilot over the Western Front using Full Auto-Generation Mode.
Poland39 Poland 1939
France40 France 1940
Britain40 Battle of Britain (Fictional Map)
Normandy41 Normandy 1941
Murmansk41 Murmansk 1941
Mediterranean41 Crete 1941 (Fictional Map)
Tobruk41 Tobruk 1941 (Fictional Map)
Normandy42 Normandy 1942
Tobruk43 Libya 1943 (Fictional Map)
MarethLine43 Mareth Line 1943 
Italy43 Italy 1943
Germany44 Germany 1944
Hungary44 Hungary 1944
Normandy44 Normandy 1944
Norway44 Norway 1944
Ardennes44 Ardennes 1944
WestGermany45 West Germany 1945
Berlin Berlin 1945
