line,air_key,class_token,internal_class,flags,class_source,class_source_kind,class_sha256,java_major,super_class,spawn_declared_here,flight_models,flight_model_property_class,flight_model_verification,cockpit_classes,cockpit_property_class,missing_cockpit_classes,player_classification,mesh_names,status,findings
3,P-39D1,air.P_39D1,com/maddox/il2/objects/air/P_39D1,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\P_39D1.class,selector-dump,AD18967F3C136D239DCADF91181A2CA95C2766A9C9E9EED9041B2409F74FB010,47,com/maddox/il2/objects/air/P_39,True,FlightModels/P-400.fmd,com/maddox/il2/objects/air/P_39D1,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_39N1,com/maddox/il2/objects/air/P_39D1,,player-capable-static,3DO/Plane/P-39D-1(Multi1)/hier.him | 3DO/Plane/P-39D-1(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
4,P-39D2,air.P_39D2,com/maddox/il2/objects/air/P_39D2,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\P_39D2.class,selector-dump,56FC4EB6BCBC39E8B574A891DC64EA3BE8D3C9B1B87EDD33D5F3D73F9422068B,47,com/maddox/il2/objects/air/P_39,True,FlightModels/P-39D.fmd,com/maddox/il2/objects/air/P_39D2,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_39N1,com/maddox/il2/objects/air/P_39D2,,player-capable-static,3DO/Plane/P-39D-2(Multi1)/hier.him | 3DO/Plane/P-39D-2(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
5,P-39N1,air.P_39N,com/maddox/il2/objects/air/P_39N,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\P_39N.class,selector-dump,E178DBD32177161A032B7306DF906783B46ABBA3C56152C927AFCC6073B10329,47,com/maddox/il2/objects/air/P_39,True,FlightModels/P-39N.fmd,com/maddox/il2/objects/air/P_39N,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_39N1,com/maddox/il2/objects/air/P_39N,,player-capable-static,3do/plane/P-39N/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
6,P-39Q-1,air.P_39Q1,com/maddox/il2/objects/air/P_39Q1,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\P_39Q1.class,selector-dump,5B6A91DF6E53615D91ACF25E30CCE7BE363765142F90D624DF4780C6FD2D2FB4,47,com/maddox/il2/objects/air/P_39,True,FlightModels/P-39Q-1.fmd,com/maddox/il2/objects/air/P_39Q1,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_39Q1,com/maddox/il2/objects/air/P_39Q1,,player-capable-static,3do/plane/P-39Q-1/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
7,P-39Q-10,air.P_39Q10,com/maddox/il2/objects/air/P_39Q10,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\P_39Q10.class,selector-dump,D16233591DE99E83F391799B921E162F4924815198AF05A34A82516EAEB1C0A5,47,com/maddox/il2/objects/air/P_39,True,FlightModels/P-39Q-10.fmd,com/maddox/il2/objects/air/P_39Q10,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_39Q10,com/maddox/il2/objects/air/P_39Q10,,player-capable-static,3do/plane/P-39Q-10/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
8,P-63C,air.P_63C,com/maddox/il2/objects/air/P_63C,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\P_63C.class,selector-dump,55F37875F470CD6508085CEA6AE4E8DE208A765D1862D08285BE976FA2303266,47,com/maddox/il2/objects/air/P_39,True,FlightModels/P-63C.fmd,com/maddox/il2/objects/air/P_63C,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitP_63C,com/maddox/il2/objects/air/P_63C,,player-capable-static,3DO/Plane/P-63C(Multi1)/hier.him | 3DO/Plane/P-63C(USA)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
9,MBR-2-AM-34,air.MBR_2AM34,com/maddox/il2/objects/air/MBR_2AM34,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\AF6EBEE8FE800AB0,loose,33A7C6E6AD1DFE9D1590A08BB042EE7953283E872939D0A779070B509C1666C8,47,com/maddox/il2/objects/air/Scheme1,True,FlightModels/MBR-2-AM-34.fmd,com/maddox/il2/objects/air/MBR_2AM34,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitMBR_2AM34 | com/maddox/il2/objects/air/CockpitMBR_2AM34_Bombardier | com/maddox/il2/objects/air/CockpitMBR_2AM34_NGunner | com/maddox/il2/objects/air/CockpitMBR_2AM34_TGunner,com/maddox/il2/objects/air/MBR_2AM34,,player-capable-static,3DO/Plane/MBR-2-AM-34(Multi1)/hier.him | 3DO/Plane/MBR-2-AM-34/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
10,BI-1,air.BI_1,com/maddox/il2/objects/air/BI_1,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\BI_1.class,selector-dump,CE011EBE6D386D6BC2791F93CAA04CD1A972AD7F655A32502CF32E9A2FCCF398,47,com/maddox/il2/objects/air/Scheme1,True,FlightModels/BI-1.fmd,com/maddox/il2/objects/air/BI_1,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitBI_1,com/maddox/il2/objects/air/BI_1,,player-capable-static,3DO/Plane/BI-1/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
11,BI-6,air.BI_6,com/maddox/il2/objects/air/BI_6,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\WIP\labs\IL 2 Sturmovik 1946 Selector Dump\dump\com\maddox\il2\objects\air\BI_6.class,selector-dump,A90024FDEBFDFF7C362C73A430499B2EB6FA334EA5CF490FDE119CBB9E0825A8,47,com/maddox/il2/objects/air/Scheme6,True,FlightModels/BI-6.fmd,com/maddox/il2/objects/air/BI_6,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitBI_6,com/maddox/il2/objects/air/BI_6,,player-capable-static,3DO/Plane/BI-6/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
12,BlenheimMkI,air.BLENHEIM1,com/maddox/il2/objects/air/BLENHEIM1,,C:\Users\Alexis\DATA\Projets\GITHUB\IL2-1946-Open-Sturmovik\Files\311C13F27D4DD844,loose,2B0A656BBFAB6553B0C8522397D642C59799FB1BBA41C04A5C7E45E17EEEE84C,47,com/maddox/il2/objects/air/BLENHEIM,True,FlightModels/Blenheim_MkI.fmd,com/maddox/il2/objects/air/BLENHEIM1,reference-only-buttons-not-extracted,com/maddox/il2/objects/air/CockpitBLENHEIM1 | com/maddox/il2/objects/air/CockpitBLENHEIM1_Bombardier | com/maddox/il2/objects/air/CockpitBLENHEIM1_TGunner,com/maddox/il2/objects/air/BLENHEIM1,,player-capable-static,3DO/Plane/BlenheimMkI(Multi1)/hier.him,REVIEW,flight-model reference found; internal Buttons entry not yet verified
